,ID,N_STENCILS,HUE_INDEX_A,HUE_INDEX_B,HUE_INDEX_C,HUE_INDEX_D,HUE_INDEX_E,HUE_INDEX_F,HUE_INDEX_G,HUE_INDEX_H,HUE_INDEX_I,HUE_INDEX_J,HUE_INDEX_K,HUE_INDEX_L,TARGET_HUE_INDEX,correct_answer,HUE_INDEX_A_sim,HUE_INDEX_B_sim,HUE_INDEX_C_sim,HUE_INDEX_D_sim,HUE_INDEX_E_sim,HUE_INDEX_F_sim,HUE_INDEX_G_sim,HUE_INDEX_H_sim,HUE_INDEX_I_sim,HUE_INDEX_J_sim,HUE_INDEX_K_sim,HUE_INDEX_L_sim
0,0000,4,85,54,81,63,-1,-1,-1,-1,-1,-1,-1,-1,26,B,0.1799999999999998,0.44,0.0999999999999999,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0001,4,81,41,41,79,-1,-1,-1,-1,-1,-1,-1,-1,36,C,0.0999999999999998,0.9,0.9,0.1399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0002,4,54,50,65,95,-1,-1,-1,-1,-1,-1,-1,-1,32,B,0.56,0.64,0.3399999999999999,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0003,4,95,8,4,18,-1,-1,-1,-1,-1,-1,-1,-1,83,A,0.76,0.5,0.5800000000000002,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0004,4,60,10,83,34,-1,-1,-1,-1,-1,-1,-1,-1,90,C,0.4,0.6,0.8600000000000001,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0005,4,47,72,44,55,-1,-1,-1,-1,-1,-1,-1,-1,58,D,0.78,0.7200000000000002,0.72,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0006,4,52,62,65,46,-1,-1,-1,-1,-1,-1,-1,-1,98,C,0.08,0.28,0.3399999999999999,0.0400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0007,4,64,5,62,43,-1,-1,-1,-1,-1,-1,-1,-1,75,A,0.78,0.4,0.7400000000000001,0.3600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0008,4,83,1,65,38,-1,-1,-1,-1,-1,-1,-1,-1,59,C,0.52,0.16,0.88,0.5800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0009,4,64,17,82,81,-1,-1,-1,-1,-1,-1,-1,-1,42,A,0.56,0.4999999999999999,0.2000000000000001,0.2199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
