ID,target_color,target_shape,has_target,N_distractors,P_interfere,N_unique_distractors,number,pref,distractors,str_out,isright,input_tokens
1500,blue,pentagon,True,8,0.0,4,0,col,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [119, 180]}, {'color': 'yellow', 'shape': 'circle', 'pos': [124, 254]}, {'color': 'yellow', 'shape': 'circle', 'pos': [20, 93]}, {'color': 'red', 'shape': 'square', 'pos': [360, 360]}, {'color': 'red', 'shape': 'square', 'pos': [260, 26]}, {'color': 'yellow', 'shape': 'square', 'pos': [339, 51]}, {'color': 'yellow', 'shape': 'square', 'pos': [399, 20]}, {'color': 'red', 'shape': 'circle', 'pos': [211, 362]}, {'color': 'red', 'shape': 'circle', 'pos': [182, 246]}]",yes<end_of_turn>,True,302
1501,blue,pentagon,True,8,0.0,4,0,sha,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [126, 339]}, {'color': 'red', 'shape': 'triangle', 'pos': [249, 246]}, {'color': 'red', 'shape': 'triangle', 'pos': [285, 382]}, {'color': 'yellow', 'shape': 'heart', 'pos': [197, 73]}, {'color': 'yellow', 'shape': 'heart', 'pos': [111, 306]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [374, 380]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [407, 268]}, {'color': 'red', 'shape': 'heart', 'pos': [247, 190]}, {'color': 'red', 'shape': 'heart', 'pos': [68, 95]}]",no<end_of_turn>,False,302
1502,blue,pentagon,False,8,0.0,4,0,col,"[{'color': 'red', 'shape': 'square', 'pos': [85, 92]}, {'color': 'red', 'shape': 'square', 'pos': [85, 408]}, {'color': 'red', 'shape': 'triangle', 'pos': [314, 178]}, {'color': 'red', 'shape': 'triangle', 'pos': [241, 76]}, {'color': 'yellow', 'shape': 'square', 'pos': [253, 186]}, {'color': 'yellow', 'shape': 'square', 'pos': [43, 143]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [154, 141]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [289, 110]}]",no<end_of_turn>,True,302
1503,blue,pentagon,False,8,0.0,4,0,sha,"[{'color': 'orange', 'shape': 'square', 'pos': [92, 336]}, {'color': 'orange', 'shape': 'square', 'pos': [369, 250]}, {'color': 'yellow', 'shape': 'circle', 'pos': [163, 406]}, {'color': 'yellow', 'shape': 'circle', 'pos': [342, 141]}, {'color': 'yellow', 'shape': 'square', 'pos': [279, 33]}, {'color': 'yellow', 'shape': 'square', 'pos': [425, 271]}, {'color': 'orange', 'shape': 'circle', 'pos': [43, 70]}, {'color': 'orange', 'shape': 'circle', 'pos': [270, 279]}]",no<end_of_turn>,True,302
1504,blue,pentagon,True,8,0.25,4,0,col,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [149, 362]}, {'color': 'blue', 'shape': 'heart', 'pos': [87, 26]}, {'color': 'blue', 'shape': 'heart', 'pos': [24, 303]}, {'color': 'purple', 'shape': 'square', 'pos': [411, 232]}, {'color': 'purple', 'shape': 'square', 'pos': [23, 111]}, {'color': 'orange', 'shape': 'heart', 'pos': [26, 397]}, {'color': 'orange', 'shape': 'heart', 'pos': [291, 23]}, {'color': 'orange', 'shape': 'square', 'pos': [36, 240]}, {'color': 'orange', 'shape': 'square', 'pos': [200, 71]}]",yes<end_of_turn>,True,302
1505,blue,pentagon,True,8,0.25,4,0,sha,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [430, 220]}, {'color': 'orange', 'shape': 'pentagon', 'pos': [222, 183]}, {'color': 'orange', 'shape': 'pentagon', 'pos': [333, 32]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [386, 147]}, {'color': 'yellow', 'shape': 'triangle', 'pos': [141, 426]}, {'color': 'yellow', 'shape': 'circle', 'pos': [384, 224]}, {'color': 'yellow', 'shape': 'circle', 'pos': [172, 394]}, {'color': 'orange', 'shape': 'triangle', 'pos': [41, 280]}, {'color': 'orange', 'shape': 'triangle', 'pos': [325, 103]}]",yes<end_of_turn>,True,302
1506,blue,pentagon,False,8,0.25,4,0,col,"[{'color': 'blue', 'shape': 'star', 'pos': [20, 291]}, {'color': 'blue', 'shape': 'star', 'pos': [218, 339]}, {'color': 'red', 'shape': 'heart', 'pos': [397, 261]}, {'color': 'red', 'shape': 'heart', 'pos': [58, 140]}, {'color': 'green', 'shape': 'heart', 'pos': [26, 424]}, {'color': 'green', 'shape': 'heart', 'pos': [398, 110]}, {'color': 'green', 'shape': 'star', 'pos': [202, 172]}, {'color': 'green', 'shape': 'star', 'pos': [295, 26]}]",no<end_of_turn>,True,302
1507,blue,pentagon,False,8,0.25,4,0,sha,"[{'color': 'purple', 'shape': 'pentagon', 'pos': [77, 422]}, {'color': 'purple', 'shape': 'pentagon', 'pos': [213, 211]}, {'color': 'yellow', 'shape': 'heart', 'pos': [256, 363]}, {'color': 'yellow', 'shape': 'heart', 'pos': [288, 404]}, {'color': 'yellow', 'shape': 'square', 'pos': [123, 402]}, {'color': 'yellow', 'shape': 'square', 'pos': [175, 315]}, {'color': 'purple', 'shape': 'square', 'pos': [324, 103]}, {'color': 'purple', 'shape': 'square', 'pos': [287, 60]}]",no<end_of_turn>,True,302
1508,blue,pentagon,True,8,0.5,4,0,col,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [23, 241]}, {'color': 'blue', 'shape': 'square', 'pos': [47, 279]}, {'color': 'blue', 'shape': 'square', 'pos': [294, 93]}, {'color': 'purple', 'shape': 'pentagon', 'pos': [331, 50]}, {'color': 'purple', 'shape': 'pentagon', 'pos': [378, 150]}, {'color': 'yellow', 'shape': 'circle', 'pos': [85, 142]}, {'color': 'yellow', 'shape': 'circle', 'pos': [233, 100]}, {'color': 'purple', 'shape': 'square', 'pos': [212, 18]}, {'color': 'purple', 'shape': 'square', 'pos': [123, 270]}]",yes<end_of_turn>,True,302
1509,blue,pentagon,True,8,0.5,4,0,sha,"[{'color': 'blue', 'shape': 'pentagon', 'pos': [90, 417]}, {'color': 'yellow', 'shape': 'pentagon', 'pos': [407, 55]}, {'color': 'yellow', 'shape': 'pentagon', 'pos': [59, 125]}, {'color': 'blue', 'shape': 'heart', 'pos': [99, 222]}, {'color': 'blue', 'shape': 'heart', 'pos': [131, 80]}, {'color': 'green', 'shape': 'triangle', 'pos': [279, 171]}, {'color': 'green', 'shape': 'triangle', 'pos': [177, 22]}, {'color': 'green', 'shape': 'heart', 'pos': [292, 408]}, {'color': 'green', 'shape': 'heart', 'pos': [312, 121]}]",no<end_of_turn>,False,302
