image_id,start,end,is_correct,steer_out,out0,P0,out1,P1,out2,P2,out3,P3
010,green,red,True,Red<end_of_turn>,Red,0.999985933303833,Crim,1.1295173862890806e-05,**,1.8042950387098244e-06,Mar,6.508676051453222e-07
011,green,red,True,Red<end_of_turn>,Red,0.9999996423721313,**,3.632428899891238e-07,Crim,3.8595516116401996e-08,red,3.952598692791298e-09
012,green,red,False,Brown<end_of_turn>,Brown,0.6271136999130249,Red,0.33633628487586975,Olive,0.01654203049838543,Mar,0.01462381798774004
013,green,red,False,Pink<end_of_turn>,Pink,0.9961263537406921,Peach,0.0038733023684471846,**,1.3759755290720932e-07,Coral,7.097438015080115e-08
014,green,red,True,Red<end_of_turn>,Red,0.9999780654907227,Pink,1.5168441677815281e-05,Yellow,4.720721335615963e-06,Green,1.1902343430847395e-06
015,green,red,True,Red<end_of_turn>,Red,0.9999977350234985,**,1.7651435655352543e-06,Pink,3.8733222140763246e-07,Crim,5.5265385157099445e-08
016,green,red,True,Red<end_of_turn>,Red,1.0,B,5.6180379459647156e-08,Two,8.808788365399778e-09,**,1.1618661588386203e-09
017,green,red,True,Red<end_of_turn>,Red,0.9948012828826904,Mar,0.004187097307294607,Burg,0.0010065606329590082,Crim,4.1228681766369846e-06
018,green,red,False,Pink<end_of_turn>,Pink,0.654593288898468,Red,0.3435845673084259,Yellow,0.0015676398761570454,Green,0.0002443654811941087
019,green,red,True,Red<end_of_turn>,Red,0.9999995231628418,**,4.951531309416168e-07,Crim,1.342369948531541e-08,red,6.478314329427803e-09
020,blue,red,True,Red<end_of_turn>,Red,0.9660432934761047,Blue,0.03395569324493408,Mult,3.672022614864545e-07,Orange,3.583623140457348e-07
021,blue,red,False,Blue<end_of_turn>,Blue,0.999997615814209,Te,1.9241313111706404e-06,Tur,4.791478431798168e-07,Cyan,3.8340981944884334e-08
022,blue,red,False,Blue<end_of_turn>,Blue,0.9999433755874634,Red,5.535002128453925e-05,**,1.2679112160185468e-06,Royal,8.49482795217682e-09
023,blue,red,False,Blue<end_of_turn>,Blue,0.9999995231628418,Red,3.0601421485698665e-07,**,6.479529446323795e-08,Royal,1.225706203200616e-08
024,blue,red,False,Blue<end_of_turn>,Blue,1.0,**,3.1420210877541876e-09,Purple,2.2162098822775533e-09,▁Blue,5.9520965933757e-10
025,blue,red,False,Blue<end_of_turn>,Blue,0.9996955394744873,Purple,0.0002703242644201964,Lavender,2.6643483579391614e-05,Light,7.218642167572398e-06
026,blue,red,False,Purple<end_of_turn>,Purple,0.8030390739440918,Blue,0.1969606727361679,**,2.0396558397806075e-07,Red,4.1620943136422284e-08
027,blue,red,False,Blue<end_of_turn>,Blue,0.998771607875824,Gray,0.0010406386572867632,Red,8.537781104678288e-05,Burg,4.767551217810251e-05
028,blue,red,False,Blue<end_of_turn>,Blue,0.9999998807907104,Te,7.666155710239764e-08,**,1.3106643770299797e-08,▁Blue,6.324819779024438e-09
029,blue,red,False,Blue<end_of_turn>,Blue,0.9999992847442627,Red,6.270720405154862e-07,**,6.02913274860839e-08,▁Blue,3.6241595835484475e-10
030,yellow,red,True,Red<end_of_turn>,Red,0.9999990463256836,Yellow,8.564454674342414e-07,**,1.1718233849933313e-07,red,2.04987706808879e-08
031,yellow,red,False,Green<end_of_turn>,Green,0.9998093247413635,Yellow,0.00016630820755381137,Lime,2.434871203149669e-05,**,4.2640603936661137e-08
032,yellow,red,True,Red<end_of_turn>,Red,0.999988317489624,Orange,1.133754904003581e-05,**,1.7376011385294987e-07,Yellow,5.4949328642805995e-08
