image_id,start,end,is_correct,steer_out,out0,P0,out1,P1,out2,P2,out3,P3
010,green,red,True,Red<end_of_turn>,Red,0.9999990463256836,**,6.820395128670498e-07,Crim,2.971970047838113e-07,Orange,1.0314155751700582e-08
011,green,red,True,Red<end_of_turn>,Red,0.9999995231628418,**,4.2065602201546426e-07,red,1.2494139056684617e-08,Crim,8.917857563517373e-09
012,green,red,True,Red<end_of_turn>,Red,0.9998277425765991,Burg,0.00015869230264797807,Mar,1.00325996754691e-05,Brown,2.6164811970375013e-06
013,green,red,False,Pink<end_of_turn>,Pink,0.9999593496322632,Peach,3.674934123409912e-05,Coral,3.4412485092616407e-06,Red,4.143831802139175e-07
014,green,red,True,Red<end_of_turn>,Red,0.9999997615814209,**,2.4393582975790196e-07,Pink,2.073148053227669e-08,Orange,6.609618186104171e-09
015,green,red,True,Red<end_of_turn>,Red,0.9999991655349731,**,7.425956027873326e-07,Crim,4.0093489417358796e-08,red,2.3618257571911272e-08
016,green,red,True,Red<end_of_turn>,Red,1.0,B,5.1795687738831475e-08,Two,1.0171937958602939e-08,**,2.451838954087293e-09
017,green,red,True,Red<end_of_turn>,Red,0.9999942779541016,Burg,2.0998500076530036e-06,Crim,1.7215796788150328e-06,Mar,1.382162395202613e-06
018,green,red,True,Red<end_of_turn>,Red,0.9997246861457825,Pink,0.00027530561783351004,**,3.975251061660856e-08,Yellow,2.437094970275666e-09
019,green,red,True,Red<end_of_turn>,Red,0.9999996423721313,**,3.128233458937757e-07,red,8.725976385903778e-09,Crim,6.0013438663020224e-09
020,blue,red,True,Red<end_of_turn>,Red,0.9999967813491821,Orange,2.646720759003074e-06,**,4.7135199565673247e-07,Pink,4.2564405333678224e-08
021,blue,red,True,Red<end_of_turn>,Red,0.9999996423721313,**,2.927827154053375e-07,red,2.436334511912719e-08,Crim,2.3082156630493955e-08
022,blue,red,True,Red<end_of_turn>,Red,0.9999992847442627,**,6.510923640234978e-07,red,9.678984724814654e-09,Crim,1.496761159458515e-09
023,blue,red,True,Red<end_of_turn>,Red,0.9999996423721313,**,3.0625949420937104e-07,red,1.3923022734729784e-08,Crim,1.9388757266369794e-09
024,blue,red,True,Red<end_of_turn>,Red,0.9999996423721313,**,3.368276395576686e-07,Crim,1.3334743087511924e-08,Purple,5.448134832164442e-09
025,blue,red,False,Pink<end_of_turn>,Pink,0.9999986886978149,Red,1.2562388747028308e-06,Pale,1.301227392502824e-08,pink,4.71248151612258e-09
026,blue,red,True,Red<end_of_turn>,Red,0.9999990463256836,**,8.375446896025096e-07,Crim,5.9592082379822386e-08,red,4.469064673884304e-09
