image_id,start,end,is_correct,steer_out,out0,P0,out1,P1,out2,P2,out3,P3
010,green,red,False, Green<|im_end|>,Green,0.8224995732307434,The,0.1610952615737915,Red,0.011203395202755928,green,0.0012720432132482529
011,green,red,False, Green.<|im_end|>,Green,0.7929106950759888,Red,0.1056298166513443,The,0.09564542770385742,B,0.0013731509679928422
012,green,red,False, Green<|im_end|>,Green,0.5949414968490601,The,0.22284449636936188,O,0.1367894411087036,Brown,0.0074362014420330524
013,green,red,False, The notebook is light green.<|im_end|>,The,0.3941015303134918,Light,0.2131093293428421,Green,0.16860167682170868,L,0.052896760404109955
014,green,red,False, Green.<|im_end|>,Green,0.9443774223327637,The,0.024457445368170738,Yellow,0.023632604628801346,L,0.002674044342711568
015,green,red,False, Green.<|im_end|>,Green,0.8460695743560791,Yellow,0.09624926000833511,The,0.04004727676510811,L,0.008638526313006878
016,green,red,False, Green and white.<|im_end|>,Green,0.9274789094924927,The,0.03161592781543732,White,0.022927558049559593,Red,0.008998911827802658
017,green,red,False, Green<|im_end|>,Green,0.954449474811554,The,0.030579132959246635,O,0.003347714664414525,Dark,0.002973937662318349
018,green,red,False, Green.<|im_end|>,Green,0.7693743109703064,Yellow,0.1858309656381607,The,0.025835910812020302,green,0.005044135265052319
019,green,red,False, Green.<|im_end|>,Green,0.9320930242538452,The,0.05049598962068558,Yellow,0.0067436895333230495,green,0.006377859506756067
020,blue,red,False, Blue<|im_end|>,Blue,0.6304526925086975,Red,0.10368463397026062,P,0.04467235505580902,The,0.035363148897886276
021,blue,red,False, Blue.<|im_end|>,Blue,0.7924199104309082,Red,0.11773800849914551,blue,0.02724779024720192,The,0.01598195545375347
022,blue,red,True, Red<|im_end|>,Red,0.39188605546951294,Blue,0.3328520953655243,The,0.20631574094295502,B,0.06111164391040802
023,blue,red,False, Blue.<|im_end|>,Blue,0.5596210956573486,The,0.2204289734363556,Red,0.19940246641635895,B,0.016237106174230576
024,blue,red,False, Blue.<|im_end|>,Blue,0.9680886268615723,P,0.022369829937815666,The,0.00448162667453289,blue,0.002441726392135024
025,blue,red,False, Blue<|im_end|>,Blue,0.8696089386940002,P,0.04589477553963661,blue,0.03326663374900818,Light,0.03096902184188366
026,blue,red,False, Blue<|im_end|>,Blue,0.8666136860847473,Red,0.09804555773735046,The,0.02780819684267044,Black,0.0020619616843760014
027,blue,red,False, Blue<|im_end|>,Blue,0.6322190761566162,Red,0.32172492146492004,The,0.03944539278745651,blue,0.0007667836034670472
028,blue,red,False, Blue.<|im_end|>,Blue,0.9270573258399963,The,0.02530568279325962,Red,0.017661966383457184,Light,0.008576829917728901
029,blue,red,False, Blue<|im_end|>,Blue,0.8292887210845947,The,0.07296338677406311,B,0.04844231158494949,Red,0.0380796380341053
