image_id,start,end,is_correct,steer_out,out0,P0,out1,P1,out2,P2,out3,P3
010,green,red,True,Red<|im_end|>,Red,0.9481902718544006,Green,0.022299299016594887,Te,0.015326067805290222,red,0.004390992224216461
011,green,red,True,Red<|im_end|>,Red,0.9908427000045776,Green,0.005199465434998274,Emer,0.0010238353861495852,red,0.0007036710740067065
012,green,red,False,Green<|im_end|>,Green,0.5656230449676514,Red,0.2671814262866974,O,0.1113777756690979,Brown,0.021931584924459457
013,green,red,False,Green<|im_end|>,Green,0.39120951294898987,Yellow,0.20939937233924866,L,0.09891325980424881,Blue,0.08729064464569092
014,green,red,True,Red<|im_end|>,Red,0.7037492990493774,Green,0.2284739464521408,Yellow,0.050979431718587875,Bright,0.0068993158638477325
015,green,red,True,Red<|im_end|>,Red,0.47316521406173706,Green,0.41756683588027954,Yellow,0.07256224006414413,Bright,0.020789429545402527
016,green,red,True,Red<|im_end|>,Red,0.9474127888679504,White,0.04162641242146492,Green,0.0026610877830535173,red,0.0012570087565109134
017,green,red,True,Red<|im_end|>,Red,0.7645182609558105,Green,0.21903815865516663,Gold,0.002757283393293619,Silver,0.002147374674677849
018,green,red,False,Yellow<|im_end|>,Yellow,0.6116325855255127,Green,0.3709739148616791,Red,0.0036369001027196646,Pale,0.0032095531933009624
019,green,red,True,Red<|im_end|>,Red,0.9649747014045715,Green,0.033019617199897766,red,0.0009971060790121555,C,0.00013494363520294428
020,blue,red,True,Red<|im_end|>,Red,0.8933355808258057,Blue,0.08309315145015717,Orange,0.004136964678764343,Mult,0.0038863185327500105
021,blue,red,True,Red<|im_end|>,Red,0.9744313955307007,Blue,0.020223677158355713,red,0.0014649983495473862,Yellow,0.001006877631880343
022,blue,red,True,Red<|im_end|>,Red,0.9103938937187195,Blue,0.07472968101501465,Royal,0.011460168287158012,Bright,0.0009407078614458442
023,blue,red,True,Red<|im_end|>,Red,0.9657149910926819,Blue,0.020042775198817253,Royal,0.012156558223068714,red,0.0008806181140244007
024,blue,red,False,Purple<|im_end|>,Purple,0.45173370838165283,Red,0.3518105447292328,Blue,0.1883106231689453,V,0.001268827123567462
025,blue,red,False,Purple<|im_end|>,Purple,0.7669786214828491,Red,0.07134012132883072,Blue,0.06295744329690933,Light,0.03369868919253349
026,blue,red,True,Red<|im_end|>,Red,0.962715744972229,Blue,0.03294232115149498,red,0.0023863338865339756,Black,0.0003229551366530359
027,blue,red,True,Red<|im_end|>,Red,0.9973239898681641,red,0.0007082739612087607,Mar,0.0004867891548201442,ĠRed,0.0001580372772878036
028,blue,red,True,Red<|im_end|>,Red,0.9662599563598633,Blue,0.022724255919456482,Pink,0.004474671557545662,red,0.0011313740396872163
029,blue,red,True,Red<|im_end|>,Red,0.9944518208503723,red,0.0019197437213733792,Blue,0.0014950978802517056,Royal,0.0009068226790986955
030,yellow,red,True,Red<|im_end|>,Red,0.9985558390617371,red,0.0011691886465996504,Yellow,8.469574095215648e-05,RED,5.137056723469868e-05
031,yellow,red,False,Green<|im_end|>,Green,0.9311869740486145,L,0.04636106640100479,Yellow,0.010344553738832474,Ne,0.004886420909315348
032,yellow,red,True,Red<|im_end|>,Red,0.998153030872345,red,0.0017004734836518764,RED,3.5292199754621834e-05,Yellow,3.114525679848157e-05
033,yellow,red,True,Red<|im_end|>,Red,0.30216681957244873,Must,0.26666128635406494,Orange,0.23532776534557343,Yellow,0.12596186995506287
