model_output,ground_truth,top_20_tokens,top_20_probs,match,match_substring
Round<end_of_turn>,circle,"['Round', 'Oval', 'Rounded', 'Circular', 'round', ' Round', ' round', 'Ell', '**', 'Circle', 'ROUND', 'O', 'Obl', 'Oct', 'Sph', '圆形', 'Here', 'Circles', 'T', 'Rounding']","tensor([1.0000e+00, 2.7989e-06, 1.6980e-06, 8.3746e-08, 4.4989e-09, 2.2767e-09,
        1.6147e-09, 5.2655e-10, 1.8428e-10, 7.5461e-11, 7.3047e-11, 1.3677e-11,
        7.5291e-12, 4.3543e-12, 3.1958e-12, 1.4330e-12, 1.0468e-12, 1.0057e-12,
        6.4058e-13, 5.4128e-13])",False,False
Leaf<end_of_turn>,heart,"['Leaf', 'Swan', 'Flower', 'Floral', 'Lotus', 'Heart', 'Fe', 'Sw', 'Leave', 'Tul', 'Leaves', 'Fern', 'Lily', 'Te', 'R', 'Ro', 'Bloom', ' Swan', '**', 'Rose']","tensor([7.7563e-01, 9.6223e-02, 6.4132e-02, 6.3483e-02, 3.3225e-04, 7.3159e-05,
        5.6030e-05, 5.5225e-05, 7.0941e-06, 2.2055e-06, 7.8934e-07, 6.9669e-07,
        6.1283e-07, 5.2030e-07, 1.9559e-07, 1.2531e-07, 8.0223e-08, 4.3793e-08,
        3.0314e-08, 2.5318e-08])",False,False
Round<end_of_turn>,square,"['Round', 'Circular', 'Oval', 'Square', ' round', 'round', 'Rounded', 'Circle', ' Round', 'White', '**', 'O', ' circular', 'Rect', '圆形', 'Oct', '圓', 'Circles', 'Te', 'C']","tensor([9.9629e-01, 3.7011e-03, 9.2569e-06, 6.3242e-07, 8.5465e-08, 7.8760e-08,
        7.5469e-08, 6.5333e-08, 3.0045e-08, 2.5244e-08, 1.1493e-08, 9.6035e-10,
        4.2222e-10, 3.5643e-10, 3.2996e-10, 2.7718e-10, 1.6149e-10, 5.5319e-11,
        5.5087e-11, 3.6599e-11])",False,False
Oval.<end_of_turn>,heart,"['Oval', 'Heart', 'Round', 'Sph', 'Rounded', 'Sphere', 'Square', 'Bear', 'Teddy', 'Rect', 'Pink', 'Circle', 'Pear', 'Circular', 'Polar', 'Diamond', 'Squ', 'Rh', 'Cube', ' Oval']","tensor([5.6623e-01, 3.4565e-01, 7.2801e-02, 8.0837e-03, 4.0085e-03, 8.6769e-04,
        7.9856e-04, 7.0357e-04, 3.1384e-04, 2.6180e-04, 1.2981e-04, 5.4608e-05,
        2.5095e-05, 1.4977e-05, 9.7128e-06, 8.5661e-06, 5.8870e-06, 4.3959e-06,
        3.5046e-06, 2.5840e-06])",False,False
Square<end_of_turn>,square,"['Square', 'Rect', 'Rectangle', 'Quadr', 'Squ', 'Squared', '**', 'Squares', ' Square', 'square', 'Geometric', ' square', 'Oval', 'Obl', ' SQUARE', 'Round', 'Sq', 'S', 'Oct', 'Ir']","tensor([1.0000e+00, 1.4758e-07, 3.7072e-09, 2.0394e-09, 1.9752e-09, 7.2599e-10,
        7.0821e-10, 5.4131e-10, 4.8949e-10, 1.9852e-10, 1.9664e-11, 1.1600e-11,
        1.1568e-11, 4.7422e-12, 4.4051e-12, 4.0871e-12, 9.8631e-13, 5.3239e-13,
        3.0940e-13, 1.5578e-13])",False,True
Round<end_of_turn>,circle,"['Round', 'Circular', 'Circle', 'round', ' Round', ' round', 'Rounded', 'Oval', '圓', '**', 'Circles', '圆形', ' circular', 'circular', 'Plate', 'ROUND', 'Rounding', '圆', 'O', 'Disc']","tensor([9.9982e-01, 1.7770e-04, 9.7325e-08, 6.3175e-09, 4.2278e-10, 2.6801e-10,
        2.6315e-10, 4.9551e-11, 1.0143e-11, 9.6432e-12, 6.0253e-12, 9.1827e-13,
        3.5021e-13, 3.4155e-13, 3.2401e-13, 2.7163e-13, 1.4819e-13, 8.2190e-14,
        8.1533e-14, 2.7443e-14])",False,False
Round<end_of_turn>,circle,"['Round', 'Circular', 'Oval', 'Rounded', 'Circle', ' Round', ' round', 'round', 'Ell', '**', ' circular', 'Circles', 'Sph', 'circular', 'O', 'Cur', '圆形', ' Circular', 'ROUND', 'Obl']","tensor([9.5075e-01, 4.9235e-02, 1.1617e-05, 7.6138e-07, 2.9685e-07, 1.0828e-08,
        9.9322e-09, 5.4783e-09, 2.0809e-09, 1.4237e-09, 1.0848e-09, 1.0175e-09,
        3.9666e-10, 1.6439e-10, 1.2031e-10, 1.2000e-10, 1.0960e-10, 4.0977e-11,
        3.4333e-11, 2.7775e-11])",False,False
Rectangular<end_of_turn>,square,"['Rect', 'Rectangle', 'Square', 'Geometric', 'Obl', ' Rect', '**', 'Fram', 'rectangular', ' rectangular', 'Rounded', 'Te', ' Rectangle', '<start_of_image>', 'Round', 'Ret', '矩', 'Regular', 'Sub', 'Quadr']","tensor([9.9630e-01, 3.6990e-03, 1.4684e-07, 2.9482e-08, 1.0674e-08, 9.4326e-09,
        1.8255e-09, 1.1315e-09, 3.2870e-10, 1.5489e-10, 1.5419e-10, 2.3334e-11,
        1.7266e-11, 1.2671e-11, 7.9840e-12, 7.4599e-12, 7.1538e-12, 6.7172e-12,
        6.0322e-12, 5.3695e-12])",False,False
Heart<end_of_turn>,heart,"['Heart', 'heart', ' Heart', '**', ' heart', 'Here', '❤️', 'Hear', '<start_of_image>', 'Hearts', 'Shape', '♥', '\n\n', '""', '♡', 'The', 'Sweet', 'Love', 'Valentine', 'D']","tensor([1.0000e+00, 1.4895e-07, 1.7459e-08, 8.6074e-09, 7.0622e-09, 4.3775e-09,
        3.2297e-09, 9.3200e-10, 2.0818e-10, 2.0429e-10, 5.3022e-11, 1.9455e-11,
        1.5631e-11, 1.0632e-11, 8.8010e-12, 8.0390e-12, 7.5665e-12, 7.0058e-12,
        5.9081e-12, 4.7114e-12])",False,True
Heart<end_of_turn>,heart,"['Heart', 'Hearts', ' hearts', 'Hear', ' Heart', '**', 'heart', ' Hearts', ' heart', 'Here', '❤️', 'hearts', 'Pink', 'Circles', 'Red', '<start_of_image>', '""', 'Sp', 'Love', 'The']","tensor([9.8967e-01, 1.0325e-02, 1.3812e-07, 7.4742e-08, 2.7984e-08, 8.6430e-09,
        6.2144e-09, 5.9329e-09, 2.6046e-09, 1.6953e-09, 7.0916e-10, 5.7560e-10,
        4.9684e-10, 2.8772e-10, 9.6768e-11, 8.9866e-11, 4.5005e-11, 4.2458e-11,
        3.1938e-11, 2.7889e-11])",False,True
