model_output,ground_truth,top_20_tokens,top_20_probs,match,match_substring
 round<|im_end|>,circle,"['round', 'circle', 'oval', 'square', 'rectangle', 'oct', 'c', 'triangle', 'circ', 'o', 'rounded', 'rect', '圆', 'd', 'hex', 'heart', '圆形', ' round', 'Round', 'ob']","tensor([6.2537e-01, 2.4468e-01, 1.0487e-01, 1.1698e-02, 5.9948e-03, 2.2985e-03,
        6.8626e-04, 6.8515e-04, 5.6430e-04, 3.9137e-04, 2.7579e-04, 2.5641e-04,
        2.2930e-04, 2.2191e-04, 1.5377e-04, 1.4180e-04, 1.0208e-04, 9.0880e-05,
        8.9321e-05, 5.2954e-05])",False,False
 heart<|im_end|>,heart,"['heart', 'leaf', 'flower', 'round', 'circle', 'triangle', 'star', 'd', 'tree', 'sp', 'square', 'clo', 'oval', 'c', 'rectangle', 'fl', 'b', 'flow', 'le', 'sw']","tensor([0.4541, 0.2039, 0.1220, 0.0842, 0.0159, 0.0145, 0.0123, 0.0110, 0.0083,
        0.0054, 0.0041, 0.0038, 0.0031, 0.0027, 0.0024, 0.0023, 0.0022, 0.0018,
        0.0016, 0.0015])",False,True
 square<|im_end|>,square,"['square', 'rectangle', 'Square', 'round', 'rect', 'triangle', 'Rectangle', 'oval', 'hex', 'white', 'Rect', 's', 'circle', 'oct', 'tri', 'he', 'heart', 'd', ' square', '-square']","tensor([7.9927e-01, 1.0917e-01, 4.8034e-02, 8.5487e-03, 8.5368e-03, 5.9505e-03,
        3.0510e-03, 2.1560e-03, 1.3025e-03, 1.2683e-03, 1.1773e-03, 1.0690e-03,
        7.2281e-04, 6.7450e-04, 6.1631e-04, 4.8493e-04, 4.3805e-04, 4.0971e-04,
        3.5944e-04, 2.8054e-04])",False,True
 heart<|im_end|>,heart,"['heart', 'p', 'round', 'circle', 'b', 'square', 'rectangle', 'triangle', 'he', 'oval', ' heart', 'hex', 'c', 'Heart', 'rect', 'd', 'circ', 'rounded', 'star', 'cube']","tensor([9.3917e-01, 2.0250e-02, 1.5431e-02, 9.3860e-03, 4.2687e-03, 2.0750e-03,
        1.3538e-03, 1.2346e-03, 1.1921e-03, 9.9374e-04, 5.2723e-04, 5.2223e-04,
        3.2780e-04, 2.7493e-04, 2.6821e-04, 1.6460e-04, 1.3897e-04, 1.1353e-04,
        1.0341e-04, 9.3161e-05])",False,True
 square<|im_end|>,square,"['square', 'rectangle', 'Square', 'rect', 'Rectangle', 's', 'Rect', 'triangle', ' square', 'white', '-square', 'd', 'round', 'oval', 'sqrt', ' rectangular', 'S', '_square', ' rectangle', 'hex']","tensor([8.7103e-01, 9.0001e-02, 2.4545e-02, 7.3236e-03, 2.0666e-03, 8.0791e-04,
        6.2577e-04, 3.0379e-04, 2.6937e-04, 2.1964e-04, 1.8770e-04, 1.5667e-04,
        1.4657e-04, 1.4635e-04, 1.3726e-04, 1.0311e-04, 9.7302e-05, 9.2572e-05,
        8.6648e-05, 6.1120e-05])",False,True
 round<|im_end|>,circle,"['round', 'oval', 'circle', 'square', 'rectangle', 'heart', 'circ', 'triangle', 'c', 'rounded', 'white', 'd', 'rect', 'o', 'plate', 'ob', 'ell', '圆', 'b', 'Round']","tensor([5.2221e-01, 2.7583e-01, 1.7745e-01, 8.4590e-03, 3.9726e-03, 3.2969e-03,
        7.4866e-04, 6.4681e-04, 6.0299e-04, 5.8037e-04, 5.0862e-04, 3.1711e-04,
        2.8258e-04, 2.7820e-04, 2.4834e-04, 2.4366e-04, 2.3715e-04, 2.2236e-04,
        1.8906e-04, 1.3439e-04])",False,False
 round<|im_end|>,circle,"['round', 'circle', 'oval', 'c', 'circ', 'square', 'rounded', 'rectangle', 'Round', 'ell', 'triangle', '圆', 'oct', 'd', 'rect', 'o', 'cir', 'O', 'sem', ' circular']","tensor([5.5741e-01, 3.9905e-01, 2.5636e-02, 3.6841e-03, 3.0308e-03, 1.8445e-03,
        1.2786e-03, 1.0373e-03, 6.1245e-04, 5.9597e-04, 4.0062e-04, 2.8994e-04,
        2.8533e-04, 2.8487e-04, 2.3603e-04, 2.1729e-04, 2.1082e-04, 1.6609e-04,
        1.4099e-04, 1.3824e-04])",False,False
 rectangle<|im_end|>,square,"['rectangle', 'square', 'rect', 'oval', 'round', 'frame', 'Square', 'Rectangle', 'triangle', 's', 'circle', ' square', ' rectangle', 'd', ' rectangular', 'hex', 'window', 'sqrt', 'rounded', 'ob']","tensor([4.8939e-01, 4.7610e-01, 2.3389e-02, 3.2935e-03, 1.3303e-03, 7.2486e-04,
        5.9140e-04, 3.1710e-04, 2.5891e-04, 2.4641e-04, 2.3092e-04, 1.4985e-04,
        1.4866e-04, 1.4756e-04, 1.4679e-04, 1.2688e-04, 1.2135e-04, 1.0173e-04,
        9.5897e-05, 7.2248e-05])",False,False
 heart<|im_end|>,heart,"['heart', 'circle', 'he', 'round', ' heart', 'Heart', 'triangle', 'oval', 'rectangle', 'square', '心', 'hex', 'shape', 'd', 'pe', '-heart', 'love', 'p', 'c', 'heat']","tensor([9.9896e-01, 2.9668e-04, 1.9259e-04, 1.8147e-04, 9.6401e-05, 5.2722e-05,
        3.2510e-05, 2.5297e-05, 2.1073e-05, 1.3482e-05, 7.1131e-06, 6.6017e-06,
        6.2657e-06, 5.6463e-06, 4.9464e-06, 4.6500e-06, 4.4953e-06, 4.4437e-06,
        4.0306e-06, 3.9979e-06])",False,True
 heart<|im_end|>,heart,"['heart', 'circle', 'he', 'triangle', ' heart', 'red', 'rectangle', 'round', 'Heart', 'oval', 'hex', 'd', ' hearts', 'square', 'circ', 'love', 'heat', '心', 'star', 'p']","tensor([9.9389e-01, 2.2535e-03, 1.7215e-03, 3.3986e-04, 2.2341e-04, 2.0000e-04,
        1.9654e-04, 1.6244e-04, 1.2656e-04, 1.2600e-04, 9.3158e-05, 6.0387e-05,
        4.4115e-05, 3.1390e-05, 2.7385e-05, 1.8529e-05, 1.6138e-05, 1.4243e-05,
        1.4149e-05, 1.2877e-05])",False,True
