model_output,ground_truth,top_20_tokens,top_20_probs,match
round<|im_end|>,circle,"['round', 'Round', 'circle', 'Circle', 'c', 'Circular', 'oval', 'C', 'O', '圓', 'circ', '圆形', 'ROUND', 'ellipse', '圆', '(round', ' Round', 'Square', '円', ' rund']","tensor([6.0164e-01, 2.2133e-01, 8.1423e-02, 2.9954e-02, 1.8168e-02, 1.6033e-02,
        1.2487e-02, 9.7246e-03, 2.1698e-03, 5.4862e-04, 4.8416e-04, 4.2727e-04,
        4.2727e-04, 4.2727e-04, 4.2727e-04, 3.3276e-04, 2.9366e-04, 2.0183e-04,
        2.0183e-04, 1.8960e-04])",False
Heart<|im_end|>,heart,"['Heart', 'heart', 'flower', 'Fl', 'He', ' Heart', 'he', 'Sw', 'Leaf', 'Star', 'leaf', 'C', 'fl', 'Love', 'D', 'HE', ' heart', 'H', 'S', 'Circular']","tensor([7.7581e-01, 1.9615e-01, 9.7660e-03, 8.6184e-03, 1.8065e-03, 6.6458e-04,
        6.6458e-04, 6.2432e-04, 4.0309e-04, 3.7867e-04, 2.9491e-04, 2.9491e-04,
        2.7704e-04, 2.1576e-04, 2.1576e-04, 2.0269e-04, 1.6803e-04, 1.3086e-04,
        1.2294e-04, 1.0192e-04])",False
Square<|im_end|>,square,"['Square', 'square', 'Rectangle', 'Rect', 'rectangle', 'rect', 'S', ' Square', 'oval', 'Round', 'Squared', '_square', 'squ', 's', 'O', ' square', 'Triangle', 'Ob', 'ob', 'round']","tensor([9.3227e-01, 5.2595e-02, 8.0657e-03, 2.6186e-03, 2.0393e-03, 7.5023e-04,
        4.0157e-04, 3.5438e-04, 1.8969e-04, 1.3037e-04, 8.9602e-05, 7.9074e-05,
        3.0966e-05, 2.9090e-05, 2.5671e-05, 2.4116e-05, 2.4116e-05, 1.7644e-05,
        1.5571e-05, 1.4627e-05])",False
Heart<|im_end|>,heart,"['Heart', 'Bear', 'heart', 'Round', 'P', 'Square', 'bear', 'C', 'Pink', 'He', 'round', 'B', 'Cube', 'Circular', 'T', 'Ted', 'R', 'he', 'Circle', 'S']","tensor([7.4961e-01, 8.9528e-02, 6.1532e-02, 2.2636e-02, 1.5558e-02, 9.4362e-03,
        6.4854e-03, 5.7234e-03, 5.0508e-03, 4.7448e-03, 3.6953e-03, 3.6953e-03,
        1.9779e-03, 1.3594e-03, 1.0587e-03, 9.9457e-04, 7.7457e-04, 6.4214e-04,
        6.0324e-04, 5.3236e-04])",False
Square<|im_end|>,square,"['Square', 'Rectangle', 'square', 'Rect', 'rectangle', 'rect', 'S', ' Square', 'Squared', '_square', 'squ', 's', 'oval', ' square', 'Triangle', 'C', 'T', 'Cube', 'Round', 'sq']","tensor([9.5101e-01, 2.2366e-02, 1.7418e-02, 4.9904e-03, 2.3573e-03, 7.6531e-04,
        5.9602e-04, 1.5070e-04, 6.2820e-05, 3.8102e-05, 2.6187e-05, 1.6908e-05,
        1.5883e-05, 1.0917e-05, 9.0501e-06, 8.5018e-06, 7.9867e-06, 7.5028e-06,
        6.6212e-06, 6.2200e-06])",False
Round<|im_end|>,circle,"['Round', 'Circle', 'round', 'Circular', 'circle', 'C', 'Square', 'oval', 'O', 'c', ' Circle', 'R', ' Round', '圓', 'ROUND', '圆形', 'circ', '圆', '_round', '(round']","tensor([7.8610e-01, 8.2854e-02, 5.6945e-02, 3.9138e-02, 2.3738e-02, 6.0019e-03,
        1.0430e-03, 7.1683e-04, 2.6371e-04, 2.6371e-04, 2.0537e-04, 1.7026e-04,
        1.7026e-04, 1.5026e-04, 1.3260e-04, 1.0993e-04, 1.0993e-04, 9.1135e-05,
        8.5613e-05, 7.0976e-05])",False
Round<|im_end|>,circle,"['Round', 'round', 'circle', 'Circle', 'Circular', 'O', 'oval', 'C', 'c', '圆形', 'ROUND', 'R', 'ellipse', '圓', ' Round', '(round', 'o', 'rounded', '円', ' Circle']","tensor([3.8548e-01, 3.0021e-01, 8.6013e-02, 8.6013e-02, 5.2169e-02, 4.0630e-02,
        2.1747e-02, 8.0004e-03, 4.8525e-03, 2.9432e-03, 1.2269e-03, 1.2269e-03,
        8.4324e-04, 7.4416e-04, 5.1145e-04, 5.1145e-04, 4.5135e-04, 3.9832e-04,
        3.3022e-04, 3.3022e-04])",False
Rectangle<|im_end|>,square,"['Rectangle', 'Rect', 'Square', 'rectangle', 'rect', 'square', 'R', 'S', 'Squared', 'Frame', '(Rect', '矩', ' Square', 'T', '_rectangle', 'RECT', ' Rectangle', 'F', 'Qu', 'O']","tensor([6.5512e-01, 1.8770e-01, 1.4618e-01, 8.2468e-03, 1.6239e-03, 5.2720e-04,
        7.1349e-05, 7.1349e-05, 4.9037e-05, 4.9037e-05, 2.6248e-05, 2.1760e-05,
        2.1760e-05, 1.6947e-05, 1.5920e-05, 1.4955e-05, 1.4049e-05, 1.4049e-05,
        1.3198e-05, 1.3198e-05])",False
Heart<|im_end|>,heart,"['Heart', 'heart', 'He', ' Heart', 'HE', 'he', ' heart', '心', 'H', 'P', 'Love', 'C', 'heartbeat', 'Pizza', 'Round', ' Hearts', 'Square', '""He', 'Shape', 'S']","tensor([9.1428e-01, 8.5041e-02, 2.7067e-04, 1.6417e-04, 6.0394e-05, 6.0394e-05,
        2.8528e-05, 1.9607e-05, 1.1892e-05, 8.1734e-06, 4.9574e-06, 2.8247e-06,
        2.4928e-06, 1.9414e-06, 1.7132e-06, 1.6094e-06, 1.1062e-06, 1.1062e-06,
        8.0928e-07, 8.0928e-07])",False
heart<|im_end|>,heart,"['heart', 'Heart', 'He', 'he', ' Heart', ' Hearts', 'HE', 'red', 'Red', 'Circle', 'circle', ' heart', 'hear', '心', 'C', 'H', 'P', 'Love', '""He', 'Round']","tensor([5.0964e-01, 4.4976e-01, 1.9761e-02, 1.7439e-02, 4.9471e-04, 4.3658e-04,
        4.1013e-04, 2.6480e-04, 2.4875e-04, 2.4875e-04, 1.8199e-04, 1.3315e-04,
        8.0759e-05, 5.9084e-05, 5.5505e-05, 4.8983e-05, 3.8148e-05, 3.5837e-05,
        2.9710e-05, 2.7910e-05])",False
