model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
Heart<end_of_turn>,heart,square,267780003,267780,"tensor([1.0000e+00, 8.7881e-08, 6.0339e-08, 4.2278e-08, 4.0362e-08, 3.2503e-08,
        2.6120e-08, 1.4937e-08, 8.6021e-09, 7.0083e-09, 2.8977e-09, 2.7631e-09,
        1.3227e-09, 8.6542e-10, 6.5454e-10, 5.7035e-10, 3.4295e-10, 3.1640e-10,
        3.1047e-10, 2.8124e-10])","['Heart', 'Square', 'Diamond', 'heart', ' Heart', '**', 'Flower', 'Hear', ' heart', '<start_of_image>', 'Hearts', 'Here', 'Star', 'Squ', 'Shape', 'Valentine', 'Geometric', 'T', '❤️', '""']",False,False
Heart<end_of_turn>,heart,square,530321001,530321,"tensor([9.7278e-01, 2.7213e-02, 2.2008e-06, 1.8353e-06, 8.2413e-07, 2.9283e-07,
        1.3866e-07, 1.1448e-07, 8.8057e-08, 4.3624e-08, 2.9468e-08, 2.8943e-08,
        9.9091e-09, 7.4494e-09, 5.1905e-09, 3.9022e-09, 2.2675e-09, 1.8905e-09,
        1.7081e-09, 1.5955e-09])","['Heart', 'Hearts', 'Circles', ' hearts', 'Squares', 'Hear', ' Hearts', ' Heart', 'Square', 'Red', 'Oval', 'Rounded', 'Circle', 'hearts', 'Pear', 'Diamond', 'Pink', 'heart', '**', 'Rect']",False,False
Hearts<end_of_turn>,heart,square,137970000,137970,"tensor([9.9975e-01, 2.2924e-04, 1.9783e-05, 4.4124e-07, 4.2651e-07, 2.6940e-07,
        1.2732e-07, 1.1106e-07, 6.9460e-08, 3.0752e-08, 2.4922e-08, 1.3229e-08,
        6.7862e-09, 2.9795e-09, 1.9707e-09, 1.3459e-09, 1.2252e-09, 8.4614e-10,
        7.4281e-10, 7.3378e-10])","['Hearts', 'Heart', 'Squares', 'Circles', ' hearts', ' Hearts', 'hearts', 'Here', 'Hear', 'Boxes', 'Dots', 'Square', '**', 'Tiles', '<start_of_image>', 'Stars', 'Circle', '   ', 'Diamonds', 'Sp']",False,False
Maple<end_of_turn>,star,square,189469004,189469,"tensor([8.5475e-01, 8.0065e-02, 1.8868e-02, 1.5772e-02, 1.3469e-02, 2.9307e-03,
        2.4428e-03, 1.9704e-03, 1.7043e-03, 8.3078e-04, 8.1426e-04, 6.8608e-04,
        6.5974e-04, 5.3757e-04, 4.9057e-04, 4.5195e-04, 4.3841e-04, 4.2704e-04,
        3.4871e-04, 2.6695e-04])","['Maple', 'Diamond', 'Triangle', 'Star', 'Square', 'Floral', 'Flower', 'Abstract', 'Leaf', 'Sail', 'Starburst', 'Geometric', 'Spiral', 'Chevron', 'Mosaic', 'Flare', 'C', 'Blue', 'Lily', 'Butterfly']",False,False
Square<end_of_turn>,heart,square,404165007,404165,"tensor([7.1513e-01, 2.8487e-01, 8.0994e-07, 5.1951e-08, 3.0793e-08, 2.0838e-08,
        8.1188e-09, 2.9518e-09, 2.6987e-09, 2.6603e-09, 2.4401e-09, 1.9622e-09,
        1.2470e-09, 1.0273e-09, 8.7979e-10, 2.4553e-10, 1.9578e-10, 9.7235e-11,
        3.8222e-11, 3.0308e-11])","['Square', 'Heart', 'Diamond', 'White', 'Rh', 'Cube', 'Here', 'Rectangle', 'Squares', 'Triangle', 'Shape', ' Heart', ' Square', 'square', 'Circle', 'Squ', 'Par', 'Geometric', 'Te', ' square']",False,True
Heart<end_of_turn>,heart,square,12154000,12154,"tensor([9.9927e-01, 7.2409e-04, 2.3033e-06, 1.4996e-06, 9.6696e-07, 8.3998e-07,
        7.7833e-07, 6.1236e-07, 5.7923e-07, 4.7048e-07, 2.9157e-07, 2.8470e-07,
        1.6444e-07, 1.3514e-07, 1.3212e-07, 9.8181e-08, 8.6847e-08, 6.2087e-08,
        5.9964e-08, 3.9820e-08])","['Heart', 'Square', 'Red', 'Cross', 'Rectangle', 'Squ', 'Hearts', 'Circle', 'Star', 'Cube', 'Brick', 'heart', 'Here', '❤️', 'Squares', ' Heart', 'Box', 'Record', 'Hear', 'Pixel']",False,False
Circle<end_of_turn>,circle,square,143845002,143845,"tensor([8.5984e-01, 1.2269e-01, 1.0809e-02, 3.3656e-03, 2.5460e-03, 2.1168e-04,
        9.7471e-05, 9.2665e-05, 8.9907e-05, 4.4949e-05, 3.3788e-05, 3.1889e-05,
        2.2568e-05, 1.8094e-05, 1.7983e-05, 1.0148e-05, 7.8381e-06, 7.7721e-06,
        7.0962e-06, 6.0263e-06])","['Circle', 'Circular', 'Oval', 'Red', 'Circles', 'Diamond', 'Geometric', 'Oct', 'Cur', 'Ell', 'Round', 'Ellipse', 'Triangle', 'Curve', 'Radial', 'Chevron', 'Te', 'Strip', 'Rounded', 'Ann']",False,False
Circle<end_of_turn>,circle,square,68094000,68094,"tensor([7.6474e-01, 2.3461e-01, 5.8646e-04, 6.2466e-05, 2.0980e-06, 7.4333e-08,
        3.6879e-08, 2.7648e-08, 8.5280e-09, 6.1787e-09, 1.8907e-09, 1.7744e-09,
        9.1638e-10, 4.8461e-10, 2.5326e-10, 1.5012e-10, 1.0481e-10, 8.0185e-11,
        6.8412e-11, 6.2717e-11])","['Circle', 'Circular', 'Round', 'Disc', 'Disk', 'circle', 'Circles', '**', 'Flat', ' circle', ' Circle', 'Circ', 'circular', 'Oval', 'Ann', ' circular', ' Circular', 'round', '圆形', 'Fr']",False,False
Square<end_of_turn>,triangle,square,214461005,214461,"tensor([9.9998e-01, 2.0681e-05, 1.0524e-06, 3.5591e-08, 1.8833e-08, 3.6665e-09,
        3.0249e-09, 1.8744e-09, 1.7974e-09, 1.5925e-09, 1.4386e-09, 1.2007e-09,
        1.0540e-09, 3.8804e-10, 3.6770e-10, 3.1518e-10, 2.7087e-10, 1.6433e-10,
        1.2650e-10, 1.1173e-10])","['Square', 'Quadr', 'Rect', 'Diamond', 'Squared', 'Rectangle', '**', ' Square', 'Squares', 'Circular', 'Obl', 'Red', 'Squ', 'Oval', 'Round', 'Rh', 'Tri', 'Rounded', 'Triangle', 'Oct']",False,True
Triangular<end_of_turn>,triangle,square,412641007,412641,"tensor([9.4154e-01, 5.8011e-02, 4.0413e-04, 3.6376e-05, 1.1926e-06, 8.2682e-07,
        7.5638e-07, 6.2636e-07, 1.0854e-07, 9.2033e-08, 5.8778e-08, 3.3144e-08,
        2.9242e-08, 1.7143e-08, 1.2777e-08, 6.5014e-09, 5.5143e-09, 4.9928e-09,
        4.6908e-09, 2.7493e-09])","['Tri', 'Triangle', 'Circular', 'W', 'Round', 'C', 'S', 'Obl', ' triangular', 'Sector', '**', 'Circle', 'Slice', 'Ir', 'Polygon', 'B', 'Tra', 'Cake', 'Quadr', ' Triangular']",False,False
