model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
Heart<end_of_turn>,heart,square,267780003,267780,"tensor([8.6143e-01, 1.1147e-01, 2.6998e-02, 8.9636e-05, 4.8315e-06, 3.5094e-06,
        4.8850e-07, 2.5621e-07, 2.1346e-07, 1.6742e-07, 1.3285e-07, 1.2113e-07,
        1.0330e-07, 9.6659e-08, 9.1642e-08, 7.1532e-08, 5.4357e-08, 5.2479e-08,
        3.2914e-08, 2.8164e-08])","['Heart', 'Square', 'Diamond', 'Flower', 'Squ', 'Rh', 'Star', 'Geometric', '<start_of_image>', 'Rectangle', '**', 'Obl', 'Floral', 'Quadr', 'Lo', 'Te', 'Bow', 'Hex', 'Oct', ' Heart']",False,False
Circles<end_of_turn>,heart,square,530321001,530321,"tensor([5.5094e-01, 3.3533e-01, 1.1041e-01, 3.3180e-03, 4.7733e-06, 1.2347e-06,
        3.9362e-07, 2.7398e-07, 2.4916e-07, 2.2682e-07, 2.1067e-07, 1.6576e-07,
        4.0296e-08, 2.8110e-08, 1.7611e-08, 1.7402e-08, 4.7728e-09, 3.9100e-09,
        2.7562e-09, 1.8351e-09])","['Circles', 'Hearts', 'Heart', 'Circle', 'Squares', ' hearts', 'Square', 'Red', ' Hearts', 'Oval', 'Round', 'Rounded', 'Circular', ' Circles', 'hearts', ' circles', 'Hear', ' Heart', 'circles', '**']",False,False
Squares<end_of_turn>,heart,square,137970000,137970,"tensor([9.9613e-01, 3.4735e-03, 3.9165e-04, 4.7816e-06, 2.1991e-06, 2.0249e-07,
        5.9655e-08, 1.5513e-08, 1.0982e-08, 8.5703e-09, 1.2353e-09, 1.0099e-09,
        9.8892e-10, 5.1735e-10, 4.4618e-10, 3.7970e-10, 3.2110e-10, 2.6662e-10,
        2.3176e-10, 1.8089e-10])","['Squares', 'Circles', 'Hearts', 'Square', 'Dots', 'Circle', ' Squares', 'Heart', 'Boxes', 'squares', 'circles', 'Tiles', ' Circles', 'Diamonds', 'hearts', ' squares', 'Squ', ' circles', ' hearts', 'Stars']",False,True
Diamond<end_of_turn>,star,square,189469004,189469,"tensor([4.7256e-01, 3.2777e-01, 1.6048e-01, 2.3525e-02, 3.0775e-03, 2.5882e-03,
        2.3728e-03, 9.4170e-04, 8.4883e-04, 6.8108e-04, 6.3548e-04, 5.2261e-04,
        3.5567e-04, 3.4115e-04, 3.3153e-04, 2.6634e-04, 2.6158e-04, 2.0087e-04,
        1.9175e-04, 1.7030e-04])","['Diamond', 'Square', 'Maple', 'Triangle', 'Geometric', 'Chevron', 'Abstract', 'Blue', 'Rh', 'Leaf', 'C', 'Mosaic', 'T', 'L', 'Tri', 'Quadr', 'Spiral', 'Par', 'Rectangle', 'Floral']",False,False
Square<end_of_turn>,heart,square,404165007,404165,"tensor([1.0000e+00, 1.0597e-09, 8.0533e-10, 2.6909e-10, 1.5403e-10, 9.7611e-11,
        8.7884e-11, 5.8794e-11, 4.4285e-11, 2.2296e-11, 1.7000e-11, 6.2640e-12,
        6.0302e-12, 2.4238e-12, 1.5124e-12, 1.0763e-12, 6.0289e-13, 5.3849e-13,
        2.8201e-13, 2.7126e-13])","['Square', 'Squares', 'Blue', ' Square', 'Triangle', 'Rectangle', 'square', 'Circle', '**', 'Purple', 'Cube', 'Squ', 'Here', ' square', 'Yellow', 'Orange', 'White', 'T', '🟦', 'Par']",False,True
Heart<end_of_turn>,heart,square,12154000,12154,"tensor([9.9997e-01, 2.7886e-05, 5.0116e-07, 4.5318e-07, 2.9295e-07, 2.4022e-07,
        1.0820e-07, 1.0722e-07, 9.1722e-08, 3.4360e-08, 2.6736e-08, 2.4793e-08,
        2.2881e-08, 2.2603e-08, 1.9824e-08, 1.8159e-08, 1.4384e-08, 1.2194e-08,
        1.0638e-08, 9.9688e-09])","['Heart', 'Square', 'Star', 'Hearts', ' Heart', 'heart', 'Diamond', 'Circle', 'Cube', 'Love', 'Rectangle', 'Here', 'Squ', 'Red', 'Flower', 'Paw', 'Cross', 'Brick', 'Guitar', ' heart']",False,False
Circle<end_of_turn>,circle,square,143845002,143845,"tensor([8.2736e-01, 1.5575e-01, 9.5536e-03, 4.1022e-03, 2.4676e-03, 2.5699e-04,
        9.3193e-05, 6.0104e-05, 5.5434e-05, 5.4792e-05, 5.1836e-05, 3.5414e-05,
        3.3472e-05, 2.1406e-05, 1.6028e-05, 9.9285e-06, 8.2525e-06, 8.0834e-06,
        6.9734e-06, 5.3874e-06])","['Circle', 'Circular', 'Oval', 'Circles', 'Red', 'Cur', 'Diamond', 'Oct', 'Geometric', 'Ell', 'Curve', 'Round', 'Ellipse', 'Radial', 'Te', 'Triangle', 'Rounded', 'Circ', 'Chevron', 'Strip']",False,False
Circle<end_of_turn>,circle,square,68094000,68094,"tensor([6.4983e-01, 3.4967e-01, 4.3528e-04, 6.5648e-05, 2.3498e-06, 7.0800e-08,
        4.4304e-08, 3.4534e-08, 1.0735e-08, 5.6215e-09, 2.2633e-09, 2.0992e-09,
        1.7138e-09, 4.8015e-10, 4.3685e-10, 2.5138e-10, 1.9934e-10, 9.6150e-11,
        9.0567e-11, 7.3663e-11])","['Circle', 'Circular', 'Round', 'Disc', 'Disk', 'circle', '**', 'Circles', 'Flat', ' circle', 'Circ', ' Circle', 'circular', 'Oval', 'Ann', ' circular', ' Circular', '圆形', 'round', 'Fr']",False,False
Square<end_of_turn>,triangle,square,214461005,214461,"tensor([1.0000e+00, 1.3071e-06, 5.7431e-07, 9.2337e-08, 2.3107e-08, 1.0700e-08,
        8.2058e-09, 6.9530e-09, 3.7946e-09, 2.7843e-09, 2.4131e-09, 2.1339e-09,
        2.0508e-09, 1.6904e-09, 1.3147e-09, 1.2527e-09, 2.3799e-10, 2.2522e-10,
        2.0113e-10, 1.9462e-10])","['Square', 'Quadr', 'Rect', 'Circular', 'Round', 'Red', 'Squares', 'Squared', '**', ' Square', 'Squ', 'Obl', 'Rectangle', 'Both', 'Oval', 'Diamond', 'Rounded', 'Oct', 'Geometric', 'Yellow']",False,True
Triangular<end_of_turn>,triangle,square,412641007,412641,"tensor([8.6656e-01, 1.3295e-01, 4.7817e-04, 8.0450e-06, 8.7012e-07, 8.3669e-07,
        2.1233e-07, 1.9270e-07, 1.5209e-07, 1.1253e-07, 6.0843e-08, 3.7647e-08,
        3.6689e-08, 3.0694e-08, 1.8804e-08, 1.0299e-08, 9.1223e-09, 4.0483e-09,
        3.4447e-09, 1.7720e-09])","['Tri', 'Triangle', 'W', 'Circular', 'Obl', 'S', 'Ir', 'C', ' triangular', 'Quadr', 'Slice', 'Sector', '**', 'Square', 'Polygon', 'Tra', 'Round', 'B', ' Triangular', 'Piece']",False,False
