model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
Heart<end_of_turn>,heart,square,267780003,267780,"tensor([1.0000e+00, 1.4955e-07, 1.6846e-08, 8.1673e-09, 6.6975e-09, 3.9266e-09,
        2.5628e-09, 7.5698e-10, 2.0063e-10, 1.2045e-10, 3.1918e-11, 1.5949e-11,
        1.3591e-11, 7.6159e-12, 6.8005e-12, 6.6343e-12, 6.2798e-12, 6.0185e-12,
        4.9657e-12, 4.0210e-12])","['Heart', 'heart', ' Heart', '**', ' heart', 'Here', '❤️', 'Hear', '<start_of_image>', 'Hearts', 'Shape', '♥', '\n\n', 'The', 'Love', '""', '♡', 'Valentine', 'Sweet', 'D']",False,False
Heart<end_of_turn>,heart,square,530321001,530321,"tensor([9.8603e-01, 1.3971e-02, 1.7638e-07, 1.1877e-07, 3.2858e-08, 7.7893e-09,
        5.4970e-09, 4.5622e-09, 2.5794e-09, 1.2988e-09, 5.0944e-10, 4.1384e-10,
        3.5223e-10, 2.7937e-10, 9.9723e-11, 4.6629e-11, 2.8893e-11, 2.2465e-11,
        1.9966e-11, 1.9050e-11])","['Heart', 'Hearts', ' hearts', 'Hear', ' Heart', ' Hearts', '**', 'heart', ' heart', 'Here', 'hearts', 'Circles', '❤️', 'Pink', '<start_of_image>', 'Red', 'Sp', 'The', 'Love', 'Circle']",False,False
Hearts<end_of_turn>,heart,square,137970000,137970,"tensor([9.9933e-01, 6.7428e-04, 3.6246e-07, 6.8626e-08, 4.4385e-08, 2.4576e-08,
        2.3711e-08, 5.6006e-09, 8.9123e-10, 4.2009e-10, 2.8428e-10, 2.8411e-10,
        2.7165e-10, 1.2158e-10, 4.6290e-11, 3.7783e-11, 2.6727e-11, 2.3335e-11,
        1.3829e-11, 1.3268e-11])","['Hearts', 'Heart', ' hearts', 'Hear', ' Hearts', 'hearts', '**', 'Here', 'Circles', 'Sp', '❤️', '<start_of_image>', 'He', '   ', 'The', '�', '|', 'Or', '<', '$\\']",False,False
Star<end_of_turn>,star,square,189469004,189469,"tensor([1.0000e+00, 1.6318e-06, 3.4709e-07, 3.0624e-07, 3.8918e-08, 3.7240e-08,
        3.6478e-08, 3.6366e-08, 1.5943e-08, 1.4261e-08, 1.1378e-08, 1.0303e-08,
        9.6550e-09, 7.3704e-09, 5.9111e-09, 5.6975e-09, 3.1806e-09, 3.0844e-09,
        2.4608e-09, 2.0121e-09])","['Star', 'Starburst', 'Flower', 'Maple', '**', 'Pent', 'Six', 'star', ' Star', 'Aster', 'L', 'F', 'Here', 'Start', 'Sho', 'Stella', 'Blue', 'Hex', '<start_of_image>', 'STAR']",False,False
Heart<end_of_turn>,heart,square,404165007,404165,"tensor([1.0000e+00, 1.6462e-08, 3.2099e-09, 1.6895e-09, 1.3359e-09, 5.0007e-10,
        4.0264e-10, 1.5966e-10, 6.6330e-11, 3.9760e-11, 2.6488e-11, 9.0510e-12,
        2.3724e-12, 2.2552e-12, 2.0397e-12, 1.6974e-12, 1.1579e-12, 1.0223e-12,
        8.1643e-13, 6.0524e-13])","['Heart', 'Here', 'heart', '**', ' Heart', '❤️', ' heart', 'Hearts', 'Hear', 'Shape', '<start_of_image>', '$\\', 'D', 'Love', 'The', '♡', 'Okay', 'A', 'T', '""']",False,False
Heart<end_of_turn>,heart,square,12154000,12154,"tensor([1.0000e+00, 1.8482e-07, 6.2537e-08, 3.3883e-08, 1.8770e-08, 1.3028e-08,
        7.9342e-09, 4.3562e-09, 3.8187e-09, 1.2449e-09, 8.9103e-10, 7.6490e-10,
        5.1814e-10, 3.9024e-10, 3.4177e-10, 2.6475e-10, 2.4214e-10, 2.0331e-10,
        1.8166e-10, 1.3578e-10])","['Heart', 'Here', 'Hearts', ' Heart', 'heart', '**', ' heart', '❤️', 'Hear', '<start_of_image>', 'Pink', 'T', 'Sweet', 'Love', 'Shape', 'Diamond', 'Red', 'Squ', 'D', 'Flower']",False,False
Circle<end_of_turn>,circle,square,143845002,143845,"tensor([9.6592e-01, 3.0521e-02, 2.8799e-03, 3.2565e-04, 3.1148e-04, 8.8835e-06,
        6.5574e-06, 4.9631e-06, 4.5270e-06, 3.7228e-06, 3.1725e-06, 2.6008e-06,
        1.9894e-06, 1.5022e-06, 1.3687e-06, 1.0855e-06, 5.5216e-07, 3.6620e-07,
        2.9458e-07, 2.5370e-07])","['Circle', 'Circular', 'Oval', 'Red', 'Circles', 'Ellipse', 'Round', 'Ell', 'Geometric', 'Cur', 'Diamond', 'Oct', 'Curve', 'Radial', 'Circ', 'Ann', '**', 'S', 'Triangle', ' Circle']",False,False
Circle<end_of_turn>,circle,square,68094000,68094,"tensor([7.0852e-01, 2.9082e-01, 5.7890e-04, 7.5769e-05, 2.0634e-06, 6.1923e-08,
        4.9233e-08, 2.9746e-08, 8.7085e-09, 4.6964e-09, 1.4247e-09, 1.3244e-09,
        1.1535e-09, 5.4486e-10, 1.9319e-10, 1.4803e-10, 1.2429e-10, 8.3778e-11,
        6.6089e-11, 3.3965e-11])","['Circle', 'Circular', 'Round', 'Disc', 'Disk', 'circle', '**', 'Circles', 'Flat', ' circle', ' Circle', 'Circ', 'circular', 'Oval', ' circular', 'Ann', ' Circular', 'round', '圆形', 'Fr']",False,False
Triangle<end_of_turn>,triangle,square,214461005,214461,"tensor([5.7829e-01, 4.2171e-01, 3.1383e-06, 1.2420e-06, 1.9557e-07, 1.0127e-07,
        5.2378e-08, 4.1249e-08, 4.1247e-08, 3.7454e-08, 3.0365e-08, 1.6669e-08,
        1.6117e-08, 7.8235e-09, 6.9258e-09, 6.5930e-09, 3.5953e-09, 2.0142e-09,
        1.6281e-09, 1.4227e-09])","['Triangle', 'Tri', 'Circular', 'Tra', 'Diamond', '**', 'Rh', 'Right', ' Triangular', 'Quadr', ' triangular', 'Round', 'Equ', 'Circle', 'Red', ' Triangle', 'triangle', 'Square', 'Diagonal', 'Oval']",False,False
Triangular<end_of_turn>,triangle,square,412641007,412641,"tensor([7.5536e-01, 2.4172e-01, 1.7636e-03, 1.1433e-03, 9.3027e-06, 2.5923e-06,
        2.1044e-06, 7.2270e-07, 3.2524e-07, 2.1585e-07, 1.3143e-07, 8.5685e-08,
        6.1858e-08, 1.7657e-08, 1.5811e-08, 9.7363e-09, 8.4566e-09, 8.1350e-09,
        6.5005e-09, 6.1997e-09])","['Tri', 'Triangle', 'Circular', 'W', 'Sector', 'C', 'S', 'Slice', 'Round', '**', 'Circle', 'Obl', ' triangular', 'B', 'Pie', 'Ir', 'Cake', 'Quarter', 'Tra', 'Segment']",False,False
Triangles<end_of_turn>,triangle,square,19959001,19959,"tensor([1.0000e+00, 9.0886e-08, 9.7226e-11, 7.2136e-11, 3.2396e-11, 8.7689e-12,
        8.0793e-13, 7.6116e-13, 3.5980e-13, 1.1635e-13, 3.4803e-14, 3.2261e-14,
        2.5186e-14, 1.2995e-14, 1.0167e-14, 3.3170e-15, 3.3042e-15, 1.5544e-15,
        1.1400e-15, 1.1164e-15])","['Tri', 'Triangle', 'tri', 'S', 'W', ' Tri', ' triangles', '**', 'TRI', 'Pizza', 'Wed', '<start_of_image>', 'Tr', 'T', 'Right', 'F', 'Pieces', ' wedges', 'wed', 'B']",False,False
Triangle<end_of_turn>,triangle,square,414416017,414416,"tensor([1.0000e+00, 2.9018e-06, 5.3854e-09, 1.3667e-09, 8.8600e-10, 3.4653e-10,
        2.1467e-10, 5.7641e-11, 4.4815e-11, 1.6303e-11, 9.0135e-12, 2.7121e-12,
        1.1215e-12, 1.0286e-12, 5.6933e-13, 3.3941e-13, 3.2202e-13, 2.6281e-13,
        1.7847e-13, 1.6927e-13])","['Triangle', 'Tri', 'Tra', 'Diamond', 'Equ', ' Triangle', 'triangle', '**', 'Right', 'Rh', 'Quadr', 'Hex', ' triangle', 'Oct', 'Square', 'Orange', 'Diagonal', 'Pent', 'Here', 'Arrow']",False,False
Star<end_of_turn>,star,square,546140000,546140,"tensor([1.0000e+00, 4.2891e-07, 1.1948e-07, 5.9622e-09, 5.4289e-09, 4.9745e-09,
        2.9840e-09, 2.9287e-09, 1.6355e-09, 1.4154e-09, 1.3079e-09, 9.4848e-10,
        8.0450e-10, 5.6759e-10, 4.7786e-10, 4.2010e-10, 3.0457e-10, 2.9092e-10,
        2.7427e-10, 2.7382e-10])","['Star', 'Starburst', '**', 'star', 'Pent', 'Here', 'Stars', '<start_of_image>', 'Blue', 'Start', ' Star', 'Starts', 'Flower', 'Diamond', 'STAR', 'Aster', 'Five', 'Hex', ' star', 'L']",False,False
