model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
Heart<end_of_turn>,heart,square,267780003,267780,"tensor([1.0000e+00, 1.1162e-07, 2.2975e-08, 1.1829e-08, 9.0182e-09, 5.8329e-09,
        3.4669e-09, 1.3081e-09, 3.0718e-10, 1.8754e-10, 4.4820e-11, 2.8459e-11,
        2.2857e-11, 1.5525e-11, 1.3480e-11, 1.2530e-11, 1.0217e-11, 7.6729e-12,
        7.2092e-12, 6.8941e-12])","['Heart', 'heart', ' Heart', '**', ' heart', 'Here', '❤️', 'Hear', '<start_of_image>', 'Hearts', 'Shape', '♥', '\n\n', 'The', '""', '♡', 'Valentine', 'Love', '�', 'Sweet']",False,False
Heart<end_of_turn>,heart,square,530321001,530321,"tensor([9.8695e-01, 1.3046e-02, 2.1790e-07, 7.1991e-08, 3.4474e-08, 1.1384e-08,
        3.8751e-09, 3.1994e-09, 2.2554e-09, 1.3490e-09, 1.3022e-09, 5.1643e-10,
        4.7387e-10, 2.0719e-10, 1.1538e-10, 4.7871e-11, 4.1678e-11, 2.2287e-11,
        1.8005e-11, 1.2804e-11])","['Heart', 'Hearts', ' hearts', 'Hear', ' Heart', ' Hearts', '**', 'heart', ' heart', 'Here', 'Circles', 'hearts', 'Pink', '❤️', 'Red', 'Circle', '<start_of_image>', ' сердца', 'Sp', 'Love']",False,False
Hearts<end_of_turn>,heart,square,137970000,137970,"tensor([9.9954e-01, 4.5545e-04, 4.7172e-07, 1.3478e-07, 6.3769e-08, 2.9315e-08,
        2.6437e-08, 1.6104e-08, 3.1211e-09, 1.3814e-09, 6.4167e-10, 4.8485e-10,
        2.4344e-10, 2.3239e-10, 1.4600e-10, 1.1071e-10, 5.6807e-11, 5.6194e-11,
        4.3967e-11, 4.3187e-11])","['Hearts', 'Heart', ' hearts', 'Hear', ' Hearts', 'hearts', '**', 'Here', 'Circles', 'Sp', '❤️', '<start_of_image>', 'He', '   ', 'The', '�', '|', 'Or', 'D', 'T']",False,False
Star<end_of_turn>,star,square,189469004,189469,"tensor([9.9813e-01, 1.5335e-03, 2.9335e-04, 2.1387e-05, 6.6174e-06, 4.2160e-06,
        3.4196e-06, 8.3478e-07, 5.6770e-07, 5.4575e-07, 4.0666e-07, 3.8276e-07,
        3.3540e-07, 3.2929e-07, 2.9523e-07, 2.5168e-07, 2.4942e-07, 2.1199e-07,
        1.7442e-07, 1.6205e-07])","['Star', 'Flower', 'Maple', 'Starburst', 'Lily', 'L', 'F', 'Stella', 'Leaf', 'Floral', 'Tr', 'Aster', 'Lotus', 'Four', 'Pent', 'Styl', 'Snow', 'Cross', 'Five', 'Six']",False,False
Heart<end_of_turn>,heart,square,404165007,404165,"tensor([1.0000e+00, 2.2615e-08, 2.3714e-09, 2.3197e-09, 1.5920e-09, 3.4034e-10,
        3.3581e-10, 7.4212e-11, 5.6198e-11, 4.3511e-11, 3.7280e-11, 6.2265e-12,
        5.1906e-12, 4.0898e-12, 2.6158e-12, 1.7616e-12, 1.5573e-12, 1.3381e-12,
        1.2870e-12, 1.0894e-12])","['Heart', 'Here', ' Heart', 'heart', '**', '❤️', ' heart', 'Shape', 'Hearts', 'Hear', '<start_of_image>', '$\\', 'Love', 'D', 'The', 'T', '♡', 'A', 'Okay', 'Square']",False,False
Heart<end_of_turn>,heart,square,12154000,12154,"tensor([1.0000e+00, 1.4004e-07, 1.2331e-07, 5.9189e-08, 3.2240e-08, 1.2223e-08,
        1.0699e-08, 7.2218e-09, 7.1183e-09, 2.4852e-09, 1.6038e-09, 1.2123e-09,
        1.1233e-09, 8.8693e-10, 8.2878e-10, 5.8436e-10, 5.5625e-10, 3.4071e-10,
        3.3464e-10, 3.1325e-10])","['Heart', 'Here', 'Hearts', ' Heart', 'heart', '**', ' heart', '❤️', 'Hear', '<start_of_image>', 'Pink', 'T', 'Sweet', 'Love', 'Diamond', 'Red', 'Shape', 'Squ', 'Flower', 'D']",False,False
Circle<end_of_turn>,circle,square,143845002,143845,"tensor([9.3162e-01, 5.5970e-02, 8.6283e-03, 2.0796e-03, 1.2203e-03, 1.6280e-04,
        9.4684e-05, 6.3746e-05, 3.0475e-05, 3.0198e-05, 2.2148e-05, 1.9699e-05,
        1.0367e-05, 8.6953e-06, 4.5410e-06, 4.2080e-06, 3.0826e-06, 2.9332e-06,
        2.7760e-06, 2.5123e-06])","['Circle', 'Circular', 'Oval', 'Circles', 'Red', 'Diamond', 'Oct', 'Geometric', 'Ell', 'Ellipse', 'Cur', 'Round', 'Triangle', 'Radial', 'Curve', 'Circ', 'Chevron', 'Ann', 'Strip', 'Rounded']",False,False
Circle<end_of_turn>,circle,square,68094000,68094,"tensor([7.7061e-01, 2.2899e-01, 3.4776e-04, 5.0621e-05, 2.0235e-06, 7.3740e-08,
        3.3428e-08, 3.0109e-08, 7.3188e-09, 6.2230e-09, 2.1553e-09, 2.1294e-09,
        9.9412e-10, 4.9530e-10, 3.1477e-10, 1.4858e-10, 1.0569e-10, 7.0198e-11,
        6.4931e-11, 4.0399e-11])","['Circle', 'Circular', 'Round', 'Disc', 'Disk', 'circle', 'Circles', '**', 'Flat', ' circle', ' Circle', 'Circ', 'circular', 'Oval', 'Ann', ' circular', ' Circular', '圆形', 'round', 'Fr']",False,False
Triangular<end_of_turn>,triangle,square,214461005,214461,"tensor([9.0594e-01, 9.3777e-02, 2.0516e-04, 5.5768e-05, 8.5578e-06, 5.2347e-06,
        4.7174e-06, 1.5442e-07, 1.0810e-07, 8.2106e-08, 5.6201e-08, 5.4964e-08,
        4.7010e-08, 2.6881e-08, 1.9672e-08, 1.5977e-08, 9.9651e-09, 3.8297e-09,
        3.0161e-09, 1.9403e-09])","['Tri', 'Triangle', 'Quadr', 'Tra', 'Diamond', 'Rh', 'Square', '**', 'Circular', ' Triangular', 'Right', 'Diagonal', ' triangular', 'Ir', 'Hex', 'Equ', 'Red', 'El', 'Obl', 'Pr']",False,False
Triangular<end_of_turn>,triangle,square,412641007,412641,"tensor([6.9675e-01, 3.0273e-01, 4.7189e-04, 4.2230e-05, 1.1052e-06, 5.8717e-07,
        4.2345e-07, 2.0287e-07, 9.5037e-08, 7.6743e-08, 6.4635e-08, 2.4096e-08,
        1.7952e-08, 7.4846e-09, 6.1617e-09, 3.8859e-09, 2.9428e-09, 2.3410e-09,
        2.3248e-09, 1.9414e-09])","['Tri', 'Triangle', 'W', 'Circular', 'S', 'Sector', 'C', 'Slice', 'Obl', '**', ' triangular', 'Round', 'Ir', 'Tra', 'B', 'Polygon', 'Circle', 'Quadr', 'Pie', 'Quarter']",False,False
Triangles<end_of_turn>,triangle,square,19959001,19959,"tensor([1.0000e+00, 3.3188e-07, 1.3382e-09, 2.1969e-10, 9.2242e-11, 4.2856e-11,
        5.3684e-12, 1.0048e-12, 6.4832e-13, 5.1724e-13, 2.0298e-13, 1.2849e-13,
        1.2666e-13, 5.8718e-14, 5.5565e-14, 5.1484e-14, 4.8913e-14, 3.1013e-14,
        1.3105e-14, 8.6284e-15])","['Tri', 'Triangle', 'S', 'tri', 'W', ' Tri', ' triangles', 'Pizza', 'TRI', '**', 'Squares', 'Tr', 'Wed', 'T', 'Quadr', 'Pieces', '<start_of_image>', 'Right', 'F', 'wed']",False,False
Diamond<end_of_turn>,triangle,square,414416017,414416,"tensor([5.3375e-01, 4.6623e-01, 9.1863e-06, 4.6458e-06, 2.6398e-06, 1.3070e-06,
        8.2774e-08, 1.7782e-08, 1.1461e-08, 3.8405e-09, 1.9656e-09, 1.3213e-09,
        5.9607e-10, 4.8277e-10, 2.4754e-10, 1.2591e-10, 9.5711e-11, 2.1249e-11,
        2.1007e-11, 1.3586e-11])","['Diamond', 'Triangle', 'Tra', 'Tri', 'Quadr', 'Rh', 'Hex', '**', 'Equ', 'Square', 'Diagonal', 'Pent', 'Oct', ' Triangle', 'Right', 'triangle', 'Polygon', ' Diamond', '<start_of_image>', 'Red']",False,False
