model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
 heart<|im_end|>,heart,square,605001,605,"tensor([0.3829, 0.2420, 0.1149, 0.0972, 0.0193, 0.0190, 0.0135, 0.0128, 0.0124,
        0.0077, 0.0064, 0.0038, 0.0037, 0.0031, 0.0030, 0.0023, 0.0021, 0.0021,
        0.0018, 0.0017])","['heart', 'leaf', 'flower', 'round', 'triangle', 'circle', 'star', 'd', 'tree', 'sp', 'square', 'oval', 'rectangle', 'clo', 'c', 'b', 'sw', 'fl', 'flow', 'le']",False,False
 heart<|im_end|>,heart,square,61144001,61144,"tensor([9.2364e-01, 2.4913e-02, 1.3870e-02, 1.3844e-02, 5.9909e-03, 3.6935e-03,
        2.5697e-03, 2.1249e-03, 1.9265e-03, 1.0911e-03, 1.0410e-03, 5.6740e-04,
        4.5828e-04, 3.5911e-04, 3.3312e-04, 2.4095e-04, 2.1098e-04, 1.4824e-04,
        1.3879e-04, 1.2612e-04])","['heart', 'p', 'round', 'circle', 'square', 'rectangle', 'b', 'triangle', 'he', 'hex', 'oval', ' heart', 'rect', 'Heart', 'd', 'c', 'star', 'circ', 'cube', 'oct']",False,False
 heart<|im_end|>,heart,square,267780003,267780,"tensor([9.9621e-01, 1.1024e-03, 7.6568e-04, 4.4085e-04, 2.5472e-04, 2.5191e-04,
        1.9883e-04, 1.6572e-04, 1.4190e-04, 8.5919e-05, 3.0400e-05, 2.5530e-05,
        1.7643e-05, 1.6650e-05, 1.4031e-05, 1.2371e-05, 1.0097e-05, 1.0034e-05,
        8.0860e-06, 7.4913e-06])","['heart', 'circle', 'round', 'he', 'rectangle', 'square', ' heart', 'oval', 'triangle', 'Heart', 'hex', 'd', 'rect', 'pe', '心', 'shape', 'p', 'c', '-heart', 'heat']",False,False
 heart<|im_end|>,heart,square,530321001,530321,"tensor([9.8369e-01, 7.8257e-03, 2.0404e-03, 1.4342e-03, 1.1948e-03, 6.1277e-04,
        4.4670e-04, 4.2030e-04, 3.2536e-04, 2.6437e-04, 2.3068e-04, 2.1955e-04,
        1.8287e-04, 5.5584e-05, 5.0920e-05, 4.5872e-05, 3.9268e-05, 3.1656e-05,
        2.8344e-05, 2.7150e-05])","['heart', 'circle', 'he', 'triangle', 'rectangle', 'red', 'round', 'oval', ' heart', 'hex', 'square', 'd', 'Heart', 'circ', ' hearts', 'star', 'rect', 'p', 'half', 'dog']",False,False
 heart<|im_end|>,heart,square,137970000,137970,"tensor([8.9651e-01, 3.8067e-02, 2.1814e-02, 7.2975e-03, 6.6767e-03, 5.9263e-03,
        4.9749e-03, 4.0048e-03, 3.2789e-03, 1.1228e-03, 9.8528e-04, 7.0543e-04,
        6.4360e-04, 5.3719e-04, 5.0700e-04, 4.3553e-04, 3.5265e-04, 2.8604e-04,
        2.0245e-04, 1.8337e-04])","['heart', 'he', 'square', 'triangle', 'Heart', 'd', 'rectangle', 'hex', 'circle', ' heart', ' hearts', 'Square', 'round', 'He', 'rect', 's', 'tri', 'star', ' Hearts', 'oval']",False,False
 star<|im_end|>,star,square,189469004,189469,"tensor([9.1989e-01, 3.9912e-02, 1.3051e-02, 3.0515e-03, 2.5332e-03, 1.6746e-03,
        1.4032e-03, 1.3034e-03, 1.1630e-03, 1.1131e-03, 7.2261e-04, 7.0559e-04,
        6.4938e-04, 5.8920e-04, 5.4336e-04, 4.7525e-04, 4.2361e-04, 2.9459e-04,
        2.6786e-04, 2.3023e-04])","['star', 'triangle', 'd', 'cross', 'square', 'stars', 'arrow', 'circle', 'st', 'rectangle', 'blue', 'aster', ' star', 'hex', 'p', 'pent', '星', 'round', 'Star', 'k']",False,False
 circle<|im_end|>,circle,square,531855002,531855,"tensor([0.7132, 0.0380, 0.0371, 0.0213, 0.0173, 0.0149, 0.0144, 0.0128, 0.0108,
        0.0107, 0.0090, 0.0086, 0.0049, 0.0036, 0.0033, 0.0031, 0.0031, 0.0026,
        0.0025, 0.0019])","['circle', 'oval', 'co', 'loop', 'round', 'd', 'c', 'rectangle', 'heart', 'o', 's', 'square', 'half', 'sem', 'l', 'ring', 'circ', 'triangle', 'st', 'lo']",False,False
 triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.5482, 0.1207, 0.0822, 0.0660, 0.0259, 0.0250, 0.0218, 0.0088, 0.0072,
        0.0070, 0.0063, 0.0055, 0.0055, 0.0049, 0.0048, 0.0039, 0.0038, 0.0017,
        0.0015, 0.0015])","['triangle', 'rectangle', 'square', 'oval', 'round', 'circle', 'd', 'tri', 'v', 'ell', 'heart', 'line', 'tr', 'hex', 'rect', 'o', 'oct', 'c', 'star', 'l']",False,False
 triangle<|im_end|>,triangle,square,9898003,9898,"tensor([5.9221e-01, 1.5708e-01, 5.6651e-02, 5.5621e-02, 3.0063e-02, 2.6672e-02,
        2.1802e-02, 8.1605e-03, 5.4236e-03, 4.9857e-03, 4.1404e-03, 3.6537e-03,
        3.5701e-03, 1.8112e-03, 1.5673e-03, 1.0147e-03, 9.3608e-04, 8.6565e-04,
        6.1111e-04, 5.8025e-04])","['triangle', 'square', 'rectangle', 'none', 'circle', 's', 'tri', 'round', 'no', 'oval', 'cross', 'tr', 'rect', 'd', 'boat', '0', 'c', 'long', 'line', 't']",False,False
 triangle<|im_end|>,triangle,square,272132003,272132,"tensor([0.5781, 0.1334, 0.0532, 0.0305, 0.0291, 0.0250, 0.0217, 0.0139, 0.0108,
        0.0083, 0.0082, 0.0074, 0.0052, 0.0051, 0.0041, 0.0034, 0.0027, 0.0026,
        0.0019, 0.0016])","['triangle', 'circle', 'd', 'round', 'square', 'rectangle', 'heart', 'cross', 'stop', 'hex', 'oval', 'star', 'oct', 'v', 'arrow', 'x', 'tri', 'tr', 'letter', 'p']",False,False
 circle<|im_end|>,circle,square,534468017,534468,"tensor([0.3728, 0.0747, 0.0484, 0.0407, 0.0309, 0.0305, 0.0244, 0.0233, 0.0218,
        0.0204, 0.0160, 0.0154, 0.0130, 0.0117, 0.0114, 0.0099, 0.0086, 0.0067,
        0.0061, 0.0055])","['circle', 'square', 'rectangle', 'str', 's', 'co', 'round', 'c', 'loop', 'oval', 'zig', 'line', 'd', 'k', 't', 'triangle', 'none', 'b', 'l', 'w']",False,False
 heart<|im_end|>,heart,square,404165007,404165,"tensor([9.5870e-01, 1.2075e-02, 7.4640e-03, 7.1259e-03, 4.0502e-03, 2.5448e-03,
        1.8337e-03, 1.1578e-03, 6.3416e-04, 4.8198e-04, 4.1752e-04, 2.0705e-04,
        1.8055e-04, 1.4818e-04, 1.1823e-04, 9.4658e-05, 7.8050e-05, 6.2464e-05,
        5.9623e-05, 5.7325e-05])","['heart', 'rectangle', 'he', 'square', 'triangle', 'hex', 'd', 'star', ' heart', 'circle', 'Heart', 'white', 'rect', 'oval', 'oct', 'p', 'shape', 'round', 'box', 'cross']",False,False
 star<|im_end|>,star,square,11076002,11076,"tensor([8.0126e-01, 1.1313e-01, 3.6822e-02, 1.5699e-02, 1.0419e-02, 2.8193e-03,
        2.3087e-03, 1.6834e-03, 8.9761e-04, 7.8072e-04, 7.3281e-04, 6.6727e-04,
        6.6707e-04, 6.5085e-04, 5.6165e-04, 5.4724e-04, 4.8580e-04, 4.7889e-04,
        4.5000e-04, 3.6804e-04])","['star', 'stars', 'square', 'triangle', 'd', 'circle', 'rectangle', 'st', 'heart', 'arrow', 'tri', 'pent', ' star', 'round', '星', 'p', 'cross', 'Star', 'aster', 'hex']",False,False
 heart<|im_end|>,heart,square,12154000,12154,"tensor([8.5928e-01, 7.1385e-02, 1.9051e-02, 8.3553e-03, 6.9295e-03, 6.0818e-03,
        3.0784e-03, 2.6772e-03, 2.3983e-03, 2.3963e-03, 1.6499e-03, 1.4012e-03,
        1.2033e-03, 8.9678e-04, 5.5926e-04, 4.4569e-04, 3.8272e-04, 3.5176e-04,
        3.4044e-04, 3.3175e-04])","['heart', 'circle', 'round', 'rectangle', 'red', 'none', 'oval', 'he', 'square', 'star', 'triangle', 'd', 'circ', ' heart', 'hex', 'flower', 'c', 'no', 'dog', 'sun']",False,False
 circle<|im_end|>,circle,square,274402002,274402,"tensor([0.4539, 0.1020, 0.0709, 0.0564, 0.0442, 0.0281, 0.0228, 0.0220, 0.0213,
        0.0190, 0.0105, 0.0098, 0.0089, 0.0087, 0.0079, 0.0069, 0.0062, 0.0042,
        0.0034, 0.0027])","['circle', 'O', 'triangle', 'Circle', 'Square', 'round', 'Triangle', 'D', 'Round', 'square', 'rectangle', 'hex', 'Rectangle', 'C', 'd', 'oval', 'Hex', 'A', 'oct', 'Oct']",False,False
 circle<|im_end|>,circle,square,68094000,68094,"tensor([5.0801e-01, 4.6983e-01, 5.4399e-03, 3.6125e-03, 2.1050e-03, 1.2701e-03,
        1.1563e-03, 1.1001e-03, 1.0279e-03, 6.4149e-04, 5.8417e-04, 3.8322e-04,
        2.6667e-04, 2.1828e-04, 2.0662e-04, 1.6609e-04, 1.6413e-04, 1.5128e-04,
        1.1917e-04, 1.1683e-04])","['circle', 'round', 'oval', 'disc', 'circ', 'square', 'triangle', 'd', 'c', 'disk', 'rectangle', 'rounded', 'orange', '圆', 'heart', 'oct', 'hex', 'ell', 'ring', 'cone']",False,False
 triangle<|im_end|>,triangle,square,9321001,9321,"tensor([0.5266, 0.1709, 0.0660, 0.0561, 0.0373, 0.0323, 0.0202, 0.0151, 0.0132,
        0.0074, 0.0058, 0.0049, 0.0046, 0.0032, 0.0026, 0.0022, 0.0020, 0.0014,
        0.0014, 0.0013])","['triangle', 'py', 'square', 'point', 'oct', 'cone', 'hex', 'tri', 'round', 'd', 'rectangle', 'circle', 'sp', 'ro', 'tr', 'con', 'p', 't', 'cross', 'c']",False,False
 diamond<|im_end|>,triangle,square,214461005,214461,"tensor([5.7087e-01, 2.9499e-01, 3.0485e-02, 1.8960e-02, 1.7284e-02, 1.4264e-02,
        1.0763e-02, 9.8829e-03, 7.1366e-03, 5.4769e-03, 1.5684e-03, 1.2312e-03,
        8.0935e-04, 7.9443e-04, 6.1341e-04, 6.0398e-04, 5.2202e-04, 4.9638e-04,
        3.9709e-04, 3.3424e-04])","['d', 'triangle', 'rectangle', 'square', 'circle', 'tri', 'round', 'hex', 'oct', 'tr', 'rect', 'oval', 'pent', 'cone', 'p', 'di', 'rh', 't', 'ob', 'D']",False,False
 diamond<|im_end|>,triangle,square,439911003,439911,"tensor([0.4551, 0.4007, 0.0546, 0.0155, 0.0129, 0.0091, 0.0065, 0.0050, 0.0039,
        0.0032, 0.0023, 0.0019, 0.0017, 0.0014, 0.0012, 0.0012, 0.0010, 0.0009,
        0.0008, 0.0007])","['d', 'triangle', 'square', 'rectangle', 'hex', 'tri', 'k', 'oct', 'star', 'rh', 'tr', 'pent', 'di', 'rect', 'qu', 't', 's', 'round', 'par', 'p']",False,False
 circle<|im_end|>,circle,square,542484000,542484,"tensor([4.8611e-01, 4.2646e-01, 2.5152e-02, 1.9922e-02, 5.6657e-03, 5.5287e-03,
        4.8076e-03, 3.7160e-03, 3.4271e-03, 1.9065e-03, 1.4486e-03, 1.1116e-03,
        1.1006e-03, 8.5239e-04, 8.4798e-04, 6.5740e-04, 5.3975e-04, 4.0482e-04,
        4.0360e-04, 3.1691e-04])","['circle', 'round', 'oval', 'c', 'oct', 'd', 'circ', 'hex', 'square', 'rounded', 'arch', 'half', 'triangle', 'rectangle', 'arc', 'o', 'sem', '圆', 'ell', 'heart']",False,False
 triangle<|im_end|>,triangle,square,73697002,73697,"tensor([0.4574, 0.1511, 0.0925, 0.0718, 0.0571, 0.0279, 0.0208, 0.0182, 0.0129,
        0.0094, 0.0073, 0.0054, 0.0052, 0.0044, 0.0034, 0.0026, 0.0025, 0.0024,
        0.0018, 0.0017])","['triangle', 'tri', 'Triangle', 'py', 'Tri', 'Py', 'T', 'Square', 'square', 'd', 't', 'tr', 'Rectangle', 'Rect', 'D', 'rect', 'cone', 'hex', 'point', 'sp']",False,False
 triangle<|im_end|>,triangle,square,412641007,412641,"tensor([0.5688, 0.1937, 0.0750, 0.0671, 0.0165, 0.0130, 0.0126, 0.0062, 0.0036,
        0.0035, 0.0035, 0.0032, 0.0024, 0.0023, 0.0022, 0.0014, 0.0014, 0.0013,
        0.0013, 0.0011])","['triangle', 'square', 'round', 'tri', 'rectangle', 'rect', 'Square', 'Triangle', 'Rect', 'p', 'circle', 'Tri', 'heart', 'Rectangle', 'tr', 'oct', 'pie', 'hex', 'Round', 'slice']",False,False
