model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
Heart<|im_end|>,heart,square,605001,605,"tensor([6.5274e-01, 2.4013e-01, 4.7284e-02, 3.6825e-02, 2.8397e-03, 1.8334e-03,
        1.6180e-03, 1.5200e-03, 1.4279e-03, 1.4279e-03, 8.6604e-04, 6.7448e-04,
        5.5916e-04, 5.5916e-04, 2.9930e-04, 2.9930e-04, 2.0570e-04, 2.0570e-04,
        2.0570e-04, 2.0570e-04])","['Heart', 'heart', 'flower', 'Fl', 'Sw', 'Star', 'Leaf', 'He', 'leaf', 'fl', ' Heart', 'he', 'C', 'D', 'Love', 'S', 'Clo', 'Te', 'H', ' heart']",False,False
Heart<|im_end|>,heart,square,61144001,61144,"tensor([7.3584e-01, 9.9585e-02, 6.0402e-02, 2.2220e-02, 1.5272e-02, 1.3477e-02,
        7.2139e-03, 5.6182e-03, 4.6577e-03, 4.3755e-03, 4.1104e-03, 3.6274e-03,
        2.2001e-03, 1.3344e-03, 1.1063e-03, 1.0393e-03, 7.6034e-04, 7.1428e-04,
        6.7100e-04, 5.9216e-04])","['Heart', 'Bear', 'heart', 'Round', 'P', 'Square', 'bear', 'C', 'Pink', 'B', 'He', 'round', 'Cube', 'Circular', 'T', 'Ted', 'R', 'Rect', 'Circle', 'he']",False,False
Heart<|im_end|>,heart,square,267780003,267780,"tensor([9.1421e-01, 8.5035e-02, 2.3884e-04, 1.8601e-04, 4.7031e-05, 4.7031e-05,
        4.1505e-05, 3.6628e-05, 2.5174e-05, 1.7302e-05, 1.1891e-05, 5.2768e-06,
        4.9571e-06, 3.4069e-06, 2.8245e-06, 2.6533e-06, 2.6533e-06, 2.1997e-06,
        1.8236e-06, 1.6093e-06])","['Heart', 'heart', 'He', ' Heart', 'he', 'Square', 'HE', ' heart', '心', 'H', 'P', 'C', 'Love', 'Triangle', ' Hearts', 'Pizza', 'heartbeat', 'Round', 'Rectangle', 'S']",False,False
Heart<|im_end|>,heart,square,530321001,530321,"tensor([5.4182e-01, 4.2197e-01, 1.6361e-02, 7.7286e-03, 1.6200e-03, 1.4296e-03,
        1.2617e-03, 1.0460e-03, 9.8258e-04, 8.1459e-04, 7.1887e-04, 2.8151e-04,
        2.4844e-04, 2.4844e-04, 2.1924e-04, 1.8176e-04, 1.4155e-04, 1.3298e-04,
        1.1735e-04, 1.1024e-04])","['Heart', 'heart', 'He', 'he', 'Circle', 'Square', ' Hearts', 'circle', 'Red', ' Heart', 'red', 'HE', 'C', 'square', ' heart', 'Round', 'P', 'H', 'Triangle', 'S']",False,False
heart<|im_end|>,heart,square,137970000,137970,"tensor([6.0683e-01, 3.6806e-01, 1.2594e-02, 7.6389e-03, 1.0338e-03, 9.1233e-04,
        8.0513e-04, 4.8834e-04, 2.4555e-04, 1.9123e-04, 1.3143e-04, 9.0333e-05,
        8.4860e-05, 7.0351e-05, 5.8323e-05, 3.5375e-05, 3.5375e-05, 3.3232e-05,
        3.3232e-05, 3.1218e-05])","['heart', 'Heart', 'He', 'he', ' Hearts', 'Square', ' Heart', 'square', ' heart', 'HE', 'rectangle', '心', 'Rectangle', ' hearts', 'C', 'H', 'triangle', 'Triangle', '之心', 'heartbeat']",False,False
Star.<|im_end|>,star,square,189469004,189469,"tensor([9.6282e-01, 3.2946e-02, 5.0026e-04, 3.8960e-04, 3.0342e-04, 2.5154e-04,
        1.7288e-04, 1.0486e-04, 1.0486e-04, 1.0486e-04, 1.0486e-04, 7.2069e-05,
        6.3600e-05, 5.9747e-05, 5.6127e-05, 5.6127e-05, 4.9532e-05, 4.3712e-05,
        3.8576e-05, 2.8222e-05])","['Star', 'star', 'Stars', 'Square', 'P', 'Sun', 'Snow', 'Cube', 'St', 'Blue', ' Star', 'Five', 'C', 'S', 'Shield', 'Hex', 'Fl', 'Triangle', 'F', 'B']",False,False
circle<|im_end|>,circle,square,531855002,531855,"tensor([0.3849, 0.3397, 0.0590, 0.0460, 0.0262, 0.0180, 0.0132, 0.0116, 0.0096,
        0.0085, 0.0070, 0.0066, 0.0040, 0.0035, 0.0028, 0.0028, 0.0028, 0.0024,
        0.0019, 0.0019])","['circle', 'loop', 'arc', 'U', 'S', 'Circle', 'oval', 's', 'Loop', 'c', 'C', 'snake', 'u', 'coil', 'ring', 'hook', 'ellipse', 'rectangle', 'triangle', 'figure']",False,False
triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.5802, 0.1295, 0.0395, 0.0395, 0.0371, 0.0199, 0.0155, 0.0113, 0.0088,
        0.0069, 0.0061, 0.0039, 0.0037, 0.0034, 0.0032, 0.0029, 0.0025, 0.0024,
        0.0024, 0.0021])","['triangle', 'V', 'paralle', 'Triangle', 'rectangle', 'v', 'diamond', 'C', 'U', 'tri', 'c', 'oval', 'Y', 'tr', 's', 'Rectangle', 'line', 't', 'hex', 'rect']",False,False
triangle<|im_end|>,triangle,square,9898003,9898,"tensor([9.3446e-01, 1.9394e-02, 1.3329e-02, 1.1763e-02, 6.2963e-03, 2.6247e-03,
        1.5920e-03, 1.3198e-03, 7.0643e-04, 6.6363e-04, 6.2342e-04, 5.1683e-04,
        3.3369e-04, 3.1348e-04, 3.1348e-04, 2.9448e-04, 2.2934e-04, 2.0240e-04,
        1.6779e-04, 1.6779e-04])","['triangle', 'Triangle', 's', 'tri', 'tr', 'none', 'boat', 'rectangle', 'None', 'diamond', 'S', ' triangle', 'n', 'point', 't', 'sp', 'd', '_triangle', 'v', 'T']",False,False
triangle<|im_end|>,triangle,square,272132003,272132,"tensor([6.6218e-01, 2.7604e-01, 2.2659e-02, 5.3819e-03, 5.0558e-03, 2.1076e-03,
        1.7472e-03, 1.5419e-03, 1.2783e-03, 9.3523e-04, 8.7857e-04, 7.7533e-04,
        7.2836e-04, 6.0383e-04, 6.0383e-04, 4.7026e-04, 4.7026e-04, 4.7026e-04,
        3.6624e-04, 3.4405e-04])","['triangle', 'Triangle', 'V', 'Diamond', 'diamond', 'T', 'Delta', 'D', 'v', 'P', 'X', 'paralle', 'tri', 'Tri', 'Y', 'A', ' triangle', 'In', 'Plus', 'Hour']",False,False
Heart<|im_end|>,heart,square,404165007,404165,"tensor([9.1543e-01, 5.8522e-02, 2.1529e-02, 2.2691e-03, 3.0709e-04, 2.5459e-04,
        2.2467e-04, 1.6438e-04, 9.9699e-05, 7.7645e-05, 7.2941e-05, 6.8522e-05,
        6.8522e-05, 5.0132e-05, 4.7094e-05, 3.6677e-05, 3.6677e-05, 3.0406e-05,
        2.6834e-05, 2.5208e-05])","['Heart', 'heart', 'Square', 'square', 'Rectangle', ' Heart', 'rectangle', 'He', 'H', 'White', 'Diamond', 'Cube', 'C', ' heart', 'P', 'Circle', 'Love', 'he', 'Cross', '心']",False,False
star<|im_end|>,star,square,11076002,11076,"tensor([8.4988e-01, 6.9763e-02, 1.7639e-02, 1.7639e-02, 1.0698e-02, 9.4413e-03,
        8.3320e-03, 4.4598e-03, 2.5411e-03, 8.7818e-04, 7.2804e-04, 4.1482e-04,
        3.8969e-04, 3.4390e-04, 2.6783e-04, 2.3636e-04, 1.7292e-04, 1.5261e-04,
        1.4336e-04, 1.4336e-04])","['star', 'Star', 'stars', 'triangle', 'Triangle', 'diamond', 'Stars', 'pent', 'Diamond', 'tri', 'st', 'STAR', 'arrow', 'square', 'hex', 'heart', 'sp', ' Star', 'five', 'Square']",False,False
heart<|im_end|>,heart,square,12154000,12154,"tensor([0.7536, 0.0794, 0.0375, 0.0242, 0.0214, 0.0147, 0.0114, 0.0065, 0.0054,
        0.0042, 0.0033, 0.0029, 0.0020, 0.0016, 0.0014, 0.0012, 0.0009, 0.0009,
        0.0009, 0.0008])","['heart', 'Heart', 'square', 'Square', 'rectangle', 'star', 'triangle', 'Rectangle', 'rect', 'he', 'Star', 'circle', 'diamond', 'Triangle', 'cross', 'oval', 'cube', ' Heart', 'round', 'c']",False,False
circle<|im_end|>,circle,square,143845002,143845,"tensor([0.4012, 0.2757, 0.0790, 0.0479, 0.0423, 0.0256, 0.0176, 0.0156, 0.0137,
        0.0121, 0.0083, 0.0083, 0.0065, 0.0033, 0.0029, 0.0027, 0.0014, 0.0014,
        0.0014, 0.0011])","['circle', 'Circle', 'C', 'Diamond', 'circ', 'round', 'Circular', 'Triangle', 'Round', 'c', 'triangle', 'oval', 'hex', 'diamond', 'Hex', 'ircle', ' Circle', 'Tri', 'cone', 'ellipse']",False,False
Triangle<|im_end|>,triangle,square,214461005,214461,"tensor([0.3359, 0.2037, 0.0849, 0.0749, 0.0584, 0.0515, 0.0455, 0.0455, 0.0215,
        0.0148, 0.0115, 0.0095, 0.0035, 0.0029, 0.0021, 0.0019, 0.0018, 0.0014,
        0.0012, 0.0012])","['Triangle', 'triangle', 'Circular', 'circle', 'Circle', 'Round', 'Diamond', 'round', 'tri', 'oval', 'Tri', 'hex', 'Hex', 'C', 'diamond', 'oct', 'Square', 'Oct', 'c', 'O']",False,False
Triangle<|im_end|>,triangle,square,439911003,439911,"tensor([6.8887e-01, 2.2364e-01, 5.6546e-02, 5.9599e-03, 5.9599e-03, 4.6416e-03,
        2.4845e-03, 2.4845e-03, 1.9349e-03, 8.5861e-04, 5.9011e-04, 3.8100e-04,
        3.5792e-04, 2.9673e-04, 2.4599e-04, 2.3109e-04, 2.3109e-04, 2.1709e-04,
        2.0394e-04, 2.0394e-04])","['Triangle', 'Diamond', 'triangle', 'diamond', 'Delta', 'Tri', 'D', 'Square', 'tri', 'T', ' Diamond', 'Py', 'Rectangle', 'Arrow', '_triangle', 'Triangles', 'Hex', 'Tr', 'S', 'P']",False,False
Triangle.<|im_end|>,triangle,square,412641007,412641,"tensor([8.2407e-01, 8.6856e-02, 6.7643e-02, 4.9001e-03, 2.0427e-03, 1.5908e-03,
        1.5908e-03, 1.4039e-03, 1.0934e-03, 9.6488e-04, 7.0592e-04, 4.2816e-04,
        4.0222e-04, 3.7785e-04, 3.1325e-04, 2.7644e-04, 2.5969e-04, 2.0225e-04,
        2.0225e-04, 1.9000e-04])","['Triangle', 'triangle', 'Tri', 'tri', 'Tr', 'Pie', 'Hex', 'Slice', 'Rectangle', 'Square', 'Triangles', 'L', 'Rect', 'slice', 'S', 'Sector', 'Ir', 'tr', 'Arc', 'T']",False,False
Triangle<|im_end|>,triangle,square,19959001,19959,"tensor([4.8214e-01, 2.5807e-01, 9.4939e-02, 5.0817e-02, 3.4926e-02, 2.7200e-02,
        1.4559e-02, 5.7015e-03, 5.7015e-03, 5.3561e-03, 3.9186e-03, 3.2486e-03,
        1.1951e-03, 1.1227e-03, 8.7435e-04, 6.0093e-04, 6.0093e-04, 5.6453e-04,
        3.0217e-04, 2.3533e-04])","['Triangle', 'Triangles', 'Tri', 'Square', 'Rect', 'S', 'Rectangle', 'rectangle', 'tri', 'triangle', 'rect', 'Tr', 'Hex', 'T', 'Slice', 'Diamond', 'Strip', 's', 'D', 'C']",False,False
Triangle<|im_end|>,triangle,square,414416017,414416,"tensor([6.2024e-01, 3.7620e-01, 9.3250e-04, 8.2293e-04, 5.6559e-04, 1.8362e-04,
        9.8285e-05, 6.3457e-05, 6.3457e-05, 6.3457e-05, 5.2608e-05, 4.9421e-05,
        4.0971e-05, 3.8489e-05, 3.8489e-05, 3.6157e-05, 2.6453e-05, 2.3345e-05,
        2.0602e-05, 1.9353e-05])","['Triangle', 'triangle', 'Diamond', 'Tri', 'tri', '_triangle', ' triangle', 'Equ', 'tr', 'Delta', 'rectangle', ' Triangle', 'Rectangle', 'diamond', 'Square', 'square', 'equ', 'Tr', 'riangle', 'P']",False,False
Star<|im_end|>,star,square,546140000,546140,"tensor([9.4188e-01, 4.6893e-02, 9.2338e-03, 4.0571e-04, 2.4607e-04, 1.3171e-04,
        1.1624e-04, 7.0501e-05, 5.1580e-05, 5.1580e-05, 4.8455e-05, 4.5519e-05,
        4.2761e-05, 3.7737e-05, 3.7737e-05, 3.5450e-05, 3.5450e-05, 2.4365e-05,
        2.2888e-05, 2.1502e-05])","['Star', 'star', 'Square', 'square', 'Cube', 'Stars', 'P', ' Star', 'Hex', 'Triangle', 'Blue', 'pent', 'STAR', 'Diamond', 'Five', 'Snow', 'cube', 'C', 'Rectangle', 'S']",False,False
circle<|im_end|>,circle,square,25872018,25872,"tensor([8.9498e-01, 3.9323e-02, 2.1048e-02, 1.6392e-02, 5.3217e-03, 3.2278e-03,
        2.8485e-03, 2.5138e-03, 2.2184e-03, 2.2184e-03, 1.3455e-03, 1.1874e-03,
        1.1874e-03, 7.2022e-04, 7.2022e-04, 4.3683e-04, 4.3683e-04, 4.3683e-04,
        4.3683e-04, 1.3323e-04])","['circle', 'Circle', 'round', 'square', 'Round', 'fr', 'rectangle', 'c', 'Square', 'Circular', 'oval', 'C', 'disc', 'ircle', 'circ', 'Disk', 'disk', 'Disc', ' Circle', 'Rectangle']",False,False
Star.<|im_end|>,star,square,158913011,158913,"tensor([8.5528e-01, 4.2582e-02, 2.2793e-02, 1.7751e-02, 1.2987e-02, 3.0846e-03,
        2.5573e-03, 2.4023e-03, 2.2568e-03, 1.9916e-03, 1.8709e-03, 1.7576e-03,
        1.7576e-03, 1.5511e-03, 1.4571e-03, 1.4571e-03, 1.3688e-03, 1.0014e-03,
        1.0014e-03, 6.8828e-04])","['Star', 'Hex', 'Diamond', 'star', 'Triangle', 'Six', 'Square', 'Snow', 'Oct', 'P', 'St', 'Stars', 'Sun', 'Polygon', 'Fl', 'Cross', 'hex', 'D', 'X', 'Ge']",False,False
circle<|im_end|>,circle,square,425548003,425548,"tensor([6.3985e-01, 3.4249e-01, 7.1081e-03, 1.2352e-03, 1.2352e-03, 9.6198e-04,
        7.4919e-04, 7.0380e-04, 6.6116e-04, 6.2110e-04, 5.8347e-04, 4.0101e-04,
        3.1231e-04, 2.9339e-04, 2.5891e-04, 2.5891e-04, 2.4323e-04, 1.7795e-04,
        1.7795e-04, 1.0139e-04])","['circle', 'Circle', 'round', 'Round', ' Circle', 'R', 'ircle', 'C', 'Circular', 'circ', 'Sun', 'sun', ' circle', 'Disk', 'c', 'cir', '_circle', '.circle', '圆', '-circle']",False,False
circle<|im_end|>,circle,square,294574001,294574,"tensor([0.2950, 0.2028, 0.1230, 0.0746, 0.0452, 0.0399, 0.0352, 0.0189, 0.0147,
        0.0147, 0.0138, 0.0114, 0.0095, 0.0074, 0.0069, 0.0069, 0.0058, 0.0048,
        0.0037, 0.0029])","['circle', 'Circle', 'Snake', 'C', 'S', 'Circular', 'snake', 'Ring', 'ring', 'Round', 'D', 'O', 'Sw', 'oval', 'c', 'T', 'Dragon', 'Loop', 'ser', 'Sn']",False,False
Circle<|im_end|>,circle,square,119808009,119808,"tensor([0.3359, 0.2309, 0.1400, 0.1236, 0.1091, 0.0276, 0.0090, 0.0037, 0.0033,
        0.0016, 0.0012, 0.0009, 0.0008, 0.0007, 0.0007, 0.0006, 0.0006, 0.0006,
        0.0006, 0.0006])","['Circle', 'Round', 'circle', 'Circular', 'round', 'oval', 'oct', 'O', 'Oct', 'C', ' Circle', 'hex', 'ircle', '圓', 'ircular', 'pent', 'P', 'c', ' Round', '圆形']",False,False
