model_output,original_shape,steered_to_shape,question_id,image_id,top_20_probs,top_20_tokens,match_steered,match_substring_steered
Heart<|im_end|>,heart,square,605001,605,"tensor([4.3769e-01, 2.6548e-01, 1.6102e-01, 7.6060e-02, 6.2434e-03, 5.8651e-03,
        5.5098e-03, 5.1759e-03, 4.5678e-03, 3.7868e-03, 1.1549e-03, 1.0192e-03,
        1.0192e-03, 9.5745e-04, 7.9376e-04, 5.8072e-04, 5.4554e-04, 5.4554e-04,
        5.4554e-04, 4.2487e-04])","['Heart', 'heart', 'flower', 'Fl', 'leaf', 'Star', 'Sw', 'fl', 'Leaf', 'Square', ' Heart', 'C', 'D', 'He', 'star', 'diamond', 'S', 'he', 'Diamond', 'd']",False,False
Square<|im_end|>,heart,square,61144001,61144,"tensor([0.2764, 0.2764, 0.1900, 0.0330, 0.0291, 0.0257, 0.0241, 0.0177, 0.0177,
        0.0101, 0.0095, 0.0083, 0.0078, 0.0074, 0.0057, 0.0042, 0.0031, 0.0029,
        0.0029, 0.0027])","['Square', 'Heart', 'Bear', 'Round', 'heart', 'P', 'Cube', 'bear', 'C', 'square', 'Rect', 'Pink', 'B', 'Rectangle', 'round', 'cube', 'rect', 'S', 'Circular', 'T']",False,True
Heart<|im_end|>,heart,square,267780003,267780,"tensor([8.7615e-01, 6.3468e-02, 5.6010e-02, 1.9166e-03, 3.7740e-04, 2.9392e-04,
        2.4366e-04, 1.3042e-04, 1.1510e-04, 1.0813e-04, 6.1608e-05, 5.7875e-05,
        5.7875e-05, 5.1075e-05, 4.7980e-05, 4.2343e-05, 4.2343e-05, 3.7367e-05,
        3.5103e-05, 3.2976e-05])","['Heart', 'heart', 'Square', 'square', 'Rectangle', 'He', ' Heart', 'rectangle', 'Triangle', 'Rect', 'Squared', 'H', 'P', ' heart', 'he', '心', 'Star', 'rect', 'C', 'HE']",False,False
Square<|im_end|>,heart,square,530321001,530321,"tensor([0.3548, 0.3131, 0.2152, 0.0544, 0.0107, 0.0065, 0.0039, 0.0037, 0.0035,
        0.0035, 0.0021, 0.0020, 0.0017, 0.0015, 0.0015, 0.0014, 0.0013, 0.0010,
        0.0009, 0.0009])","['Square', 'Heart', 'heart', 'square', 'Circle', 'circle', 'He', 'Red', 'S', 'Rectangle', 'Rect', 'red', 'rectangle', 'Triangle', ' Hearts', 'C', 'rect', 'he', 'Round', 's']",False,True
square<|im_end|>,heart,square,137970000,137970,"tensor([5.4536e-01, 4.2473e-01, 1.1319e-02, 6.8651e-03, 1.7358e-03, 1.5318e-03,
        1.3518e-03, 1.0528e-03, 1.0528e-03, 8.1991e-04, 5.2938e-04, 4.6717e-04,
        4.1228e-04, 3.8730e-04, 3.0163e-04, 2.2068e-04, 1.9475e-04, 1.8295e-04,
        1.2574e-04, 1.1812e-04])","['square', 'Square', 'rectangle', 'Rectangle', 's', 'S', 'rect', 'Rect', 'Box', 'heart', 'Heart', 'Cube', 'box', 'squ', ' Square', 'quare', 'Diamond', 'sq', 'cube', '_square']",False,True
Star.<|im_end|>,star,square,189469004,189469,"tensor([7.1921e-01, 2.0606e-01, 3.1600e-02, 1.4927e-02, 9.0536e-03, 3.1288e-03,
        2.4367e-03, 1.6747e-03, 8.9642e-04, 8.4211e-04, 4.7982e-04, 3.7368e-04,
        3.7368e-04, 3.2978e-04, 2.9103e-04, 2.2665e-04, 2.2665e-04, 2.1292e-04,
        2.1292e-04, 2.0002e-04])","['Star', 'Square', 'star', 'Cube', 'square', 'cube', 'Sun', 'Box', 'Stars', 'Diamond', 'Cross', 'diamond', 'Rectangle', 'S', 'Snow', 'C', 'P', 'Fl', 'Triangle', 'Blue']",False,False
loop<|im_end|>,circle,square,531855002,531855,"tensor([0.3778, 0.2942, 0.0744, 0.0617, 0.0310, 0.0146, 0.0138, 0.0114, 0.0107,
        0.0083, 0.0083, 0.0074, 0.0061, 0.0045, 0.0042, 0.0035, 0.0029, 0.0027,
        0.0025, 0.0021])","['loop', 'circle', 'arc', 'U', 'S', 's', 'Circle', 'oval', 'Loop', 'snake', 'c', 'C', 'u', 'hook', 'rectangle', 'coil', 'ellipse', 'triangle', 'ring', 'h']",False,False
triangle<|im_end|>,triangle,square,402384009,402384,"tensor([0.5572, 0.1409, 0.0404, 0.0379, 0.0379, 0.0203, 0.0158, 0.0131, 0.0102,
        0.0070, 0.0070, 0.0043, 0.0038, 0.0038, 0.0035, 0.0031, 0.0027, 0.0024,
        0.0024, 0.0023])","['triangle', 'V', 'paralle', 'rectangle', 'Triangle', 'v', 'diamond', 'C', 'U', 'tri', 'c', 'oval', 'tr', 'Y', 's', 'line', 'Rectangle', 't', 'hex', 'arrow']",False,False
triangle<|im_end|>,triangle,square,9898003,9898,"tensor([9.3276e-01, 1.7084e-02, 1.5077e-02, 1.0362e-02, 7.1217e-03, 2.9688e-03,
        2.3121e-03, 1.8007e-03, 9.0543e-04, 7.9904e-04, 6.6242e-04, 5.1590e-04,
        4.2769e-04, 3.5457e-04, 3.1291e-04, 3.1291e-04, 2.7614e-04, 2.4369e-04,
        2.0203e-04, 1.7829e-04])","['triangle', 'Triangle', 's', 'tri', 'tr', 'none', 'rectangle', 'boat', 'diamond', 'None', 'S', ' triangle', 'n', 't', 'sp', 'point', 'square', 'd', '_triangle', 'T']",False,False
triangle<|im_end|>,triangle,square,272132003,272132,"tensor([0.5582, 0.2637, 0.0357, 0.0216, 0.0158, 0.0116, 0.0085, 0.0062, 0.0055,
        0.0045, 0.0043, 0.0031, 0.0028, 0.0026, 0.0024, 0.0016, 0.0016, 0.0014,
        0.0013, 0.0012])","['triangle', 'Triangle', 'V', 'diamond', 'Diamond', 'T', 'paralle', 'rectangle', 'Rectangle', 'Square', 'D', 'X', 'P', 'v', 'Plus', 'Cross', 'In', 'tr', 'Delta', 'tri']",False,False
